dataset,forecaster,coverage,horizon_hours,window,method,n,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,user_coverage_std,max_abs_cluster_coverage_gap,forecaster_key,window_order
London,lightgbm_quantile,0.8,1.0,2013-09,pid_user,719609,0.7996842729871361,0.2718036485614242,0.4638646343638868,0.0008329193737656,0.0011263590412552,0.0003563284721016,lgbm,6
London,lightgbm_quantile,0.8,1.0,2013-10,raw,743344,0.7785116984868379,0.2878113524031092,0.5060440196240739,0.0455232987740504,0.0619396501412632,0.0265718660605125,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,rolling_global_norm,743344,0.7939984717708086,0.2905204489662504,0.5058869367875528,0.0411187241380709,0.0577066295261845,0.0081054539141003,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,rolling_group_norm,743344,0.7942029531414796,0.2904638790513434,0.505874638195636,0.0409083515231616,0.0573453936477254,0.010365552086919,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,rolling_user_norm,743344,0.7917020921672873,0.2904728641464786,0.5047603284715929,0.0288005368099611,0.0417813318368678,0.0131035328656609,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,aci_global,743344,0.7992409974386018,0.291566100614457,0.5058819148236361,0.0404916472881249,0.0566947341940767,0.0074712879241229,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,aci_segment,743344,0.7992463785273036,0.2914037784623266,0.5058573965411122,0.040174560209471,0.0563449453133476,0.0018390368005191,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,aci_user,743344,0.8005001721948385,0.292217733991487,0.5038652202010387,0.005561269614123,0.0087950081192858,0.0011480782168977,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,pid_global,743344,0.7999391936976689,0.2917603317499861,0.5058749159548709,0.0400481524158898,0.056080332773536,0.0067417019846376,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,pid_segment,743344,0.7999432295141953,0.2920800143135966,0.5059700365549653,0.0395346189475792,0.0552179250092894,0.0001337337432392,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-10,pid_user,743344,0.7998921091715275,0.3004547698109127,0.5085774736429023,0.0010081672162125,0.0019952334730017,0.0002836367809685,lgbm,7
London,lightgbm_quantile,0.8,1.0,2013-11,raw,719128,0.7730543102201555,0.3462742447617437,0.6126454834011817,0.0474423175794425,0.068558949372626,0.042802571508432,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,rolling_global_norm,719128,0.7937210065523801,0.3502218408129811,0.6122988172850768,0.0415710067179623,0.0643784756016899,0.0136062949442247,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,rolling_group_norm,719128,0.7938280806754847,0.3500595850234066,0.6123271309075815,0.0415912708435148,0.0645917074333322,0.0226184325317839,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,rolling_user_norm,719128,0.7894797588190141,0.3508479955711796,0.6111021697948463,0.0330712052105148,0.0522518075804125,0.0245157246554805,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,aci_global,719128,0.7995238677954412,0.3516390230909836,0.6122732629008947,0.0414518189845321,0.0638772854942079,0.0057460847174813,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,aci_segment,719128,0.7995141337842498,0.3519567792611104,0.6122649614350179,0.0409515699703735,0.0634992712979939,0.0032304786427586,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,aci_user,719128,0.8008685519128722,0.3545624070600736,0.6094754609708481,0.0065154273704492,0.0101933938917858,0.0016472106858232,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,pid_global,719128,0.8000189117931717,0.3517972753188267,0.6122666348192871,0.0409097590314356,0.0627278777315842,0.0067370810499479,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,pid_segment,719128,0.8000258646583084,0.3528360652186939,0.6123540083726854,0.0400460043594927,0.0615632468244895,7.284246546335194e-05,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-11,pid_user,719128,0.799941039703641,0.3623831991119294,0.6137377998959463,0.0009572263204874,0.0014895481887398,0.0001920680002451,lgbm,8
London,lightgbm_quantile,0.8,1.0,2013-12,raw,743352,0.7752410701794036,0.363949820158844,0.6221828086652439,0.0499916952965844,0.0788634075255044,0.0374358469837834,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,rolling_global_norm,743352,0.8004754140703193,0.3687727197328605,0.6219455754354903,0.0451851420370649,0.0690525255422438,0.0075573482873398,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,rolling_group_norm,743352,0.8006704764364662,0.3688192644172796,0.62193783976626,0.0447212858093904,0.0688168522994191,0.0063685703510584,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,rolling_user_norm,743352,0.7973692140466427,0.3695178131994346,0.6205063295307099,0.0317092786159303,0.0468641661721804,0.0063093928772066,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,aci_global,743352,0.8002373034578504,0.3686998173546555,0.6219427583823557,0.0451099075781584,0.0690206376644266,0.0072458064833488,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,aci_segment,743352,0.8002561370656163,0.3685332630148499,0.6219224215394302,0.0444092201617932,0.0686805926938373,0.0007608178792201,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,aci_user,743352,0.8016780744519421,0.370967843488364,0.6181324723991606,0.0066078807667012,0.0119960234386524,0.0021496858485344,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,pid_global,743352,0.7998902269718787,0.3688232028905374,0.6219524050169681,0.0438597418950746,0.0670544759011993,0.0037368619541868,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,pid_segment,743352,0.7999104058373422,0.369354809648785,0.6220390323667221,0.0432168393918738,0.0660526217959698,0.0001020706898871,lgbm,9
London,lightgbm_quantile,0.8,1.0,2013-12,pid_user,743352,0.7998592860448347,0.3784309381892482,0.6219838473238571,0.0009629715438708,0.0013684230375013,0.0004197615885352,lgbm,9
