forecaster,dataset,configuration,coverage,horizon_hours,window,window_order,strategy,selected_policy,loss
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-12,5,Month-wise oracle,rolling_user_norm,0.035146285701265
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,CSGR,rolling_user_norm,0.0417156955436563
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Mean-fold minimum,rolling_user_norm,0.0417156955436563
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Latest-fold minimum,rolling_user_norm,0.0417156955436563
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Previous-window winner,rolling_user_norm,0.0417156955436563
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Follow-the-leader,rolling_user_norm,0.0417156955436563
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Global-CQR,rolling_global_norm,0.0505143958795098
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Segment-CQR,rolling_group_norm,0.048897790415613
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,User-CQR,rolling_user_norm,0.0417156955436563
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Ex-post best fixed,rolling_user_norm,0.0417156955436563
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Month-wise oracle,rolling_user_norm,0.0417156955436563
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,CSGR,rolling_user_norm,0.0360427903341234
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Mean-fold minimum,rolling_user_norm,0.0360427903341234
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Latest-fold minimum,rolling_user_norm,0.0360427903341234
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Previous-window winner,rolling_user_norm,0.0360427903341234
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Follow-the-leader,rolling_user_norm,0.0360427903341234
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Global-CQR,rolling_global_norm,0.0476474430317539
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Segment-CQR,rolling_group_norm,0.0455167090572543
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,User-CQR,rolling_user_norm,0.0360427903341234
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Ex-post best fixed,rolling_user_norm,0.0360427903341234
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Month-wise oracle,rolling_user_norm,0.0360427903341234
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,CSGR,rolling_user_norm,0.0351998668573815
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Mean-fold minimum,rolling_user_norm,0.0351998668573815
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Latest-fold minimum,rolling_user_norm,0.0351998668573815
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Previous-window winner,rolling_user_norm,0.0351998668573815
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Follow-the-leader,rolling_user_norm,0.0351998668573815
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Global-CQR,rolling_global_norm,0.0459291226100637
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Segment-CQR,rolling_group_norm,0.0435471555819784
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,User-CQR,rolling_user_norm,0.0351998668573815
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Ex-post best fixed,rolling_user_norm,0.0351998668573815
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Month-wise oracle,rolling_user_norm,0.0351998668573815
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,CSGR,rolling_user_norm,0.039561440652673
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Mean-fold minimum,rolling_user_norm,0.039561440652673
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Latest-fold minimum,rolling_user_norm,0.039561440652673
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Previous-window winner,rolling_user_norm,0.039561440652673
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Follow-the-leader,rolling_user_norm,0.039561440652673
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Global-CQR,rolling_global_norm,0.0439988302924943
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Segment-CQR,rolling_group_norm,0.0428792960557484
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,User-CQR,rolling_user_norm,0.039561440652673
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Ex-post best fixed,rolling_user_norm,0.039561440652673
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Month-wise oracle,rolling_user_norm,0.039561440652673
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,CSGR,rolling_user_norm,0.045895704022515
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Mean-fold minimum,rolling_user_norm,0.045895704022515
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Latest-fold minimum,rolling_user_norm,0.045895704022515
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Previous-window winner,rolling_user_norm,0.045895704022515
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Follow-the-leader,rolling_user_norm,0.045895704022515
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Global-CQR,rolling_global_norm,0.0512197094033312
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Segment-CQR,rolling_group_norm,0.0495044475342026
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,User-CQR,rolling_user_norm,0.045895704022515
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Ex-post best fixed,rolling_user_norm,0.045895704022515
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Month-wise oracle,rolling_user_norm,0.045895704022515
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,CSGR,rolling_user_norm,0.0512328216344408
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,Mean-fold minimum,rolling_user_norm,0.0512328216344408
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,Latest-fold minimum,rolling_user_norm,0.0512328216344408
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,Previous-window winner,rolling_user_norm,0.0512328216344408
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,Follow-the-leader,rolling_user_norm,0.0512328216344408
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,Global-CQR,rolling_global_norm,0.0576720835488096
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,Segment-CQR,rolling_group_norm,0.0570205039659832
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,User-CQR,rolling_user_norm,0.0512328216344408
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,Ex-post best fixed,rolling_user_norm,0.0512328216344408
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,11,Month-wise oracle,rolling_user_norm,0.0512328216344408
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,CSGR,rolling_user_norm,0.0626415189954223
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,Mean-fold minimum,rolling_user_norm,0.0626415189954223
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,Latest-fold minimum,rolling_user_norm,0.0626415189954223
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,Previous-window winner,rolling_global_norm,0.0750284938431294
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,Follow-the-leader,rolling_global_norm,0.0750284938431294
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,Global-CQR,rolling_global_norm,0.0750284938431294
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,Segment-CQR,rolling_group_norm,0.0705061883689951
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,User-CQR,rolling_user_norm,0.0626415189954223
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,Ex-post best fixed,rolling_user_norm,0.0626415189954223
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-07,0,Month-wise oracle,rolling_user_norm,0.0626415189954223
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,CSGR,rolling_user_norm,0.0487156352439047
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,Mean-fold minimum,rolling_user_norm,0.0487156352439047
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,Latest-fold minimum,rolling_user_norm,0.0487156352439047
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,Previous-window winner,rolling_user_norm,0.0487156352439047
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,Follow-the-leader,rolling_user_norm,0.0487156352439047
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,Global-CQR,rolling_global_norm,0.0653296870545571
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,Segment-CQR,rolling_group_norm,0.0586318041512264
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,User-CQR,rolling_user_norm,0.0487156352439047
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,Ex-post best fixed,rolling_user_norm,0.0487156352439047
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-08,1,Month-wise oracle,rolling_user_norm,0.0487156352439047
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,CSGR,rolling_user_norm,0.0608651942350896
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,Mean-fold minimum,rolling_user_norm,0.0608651942350896
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,Latest-fold minimum,rolling_user_norm,0.0608651942350896
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,Previous-window winner,rolling_user_norm,0.0608651942350896
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,Follow-the-leader,rolling_user_norm,0.0608651942350896
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,Global-CQR,rolling_global_norm,0.0717052963675561
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,Segment-CQR,rolling_group_norm,0.0666815520032221
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,User-CQR,rolling_user_norm,0.0608651942350896
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,Ex-post best fixed,rolling_user_norm,0.0608651942350896
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-09,2,Month-wise oracle,rolling_user_norm,0.0608651942350896
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,CSGR,rolling_user_norm,0.0448662733882464
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,Mean-fold minimum,rolling_user_norm,0.0448662733882464
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,Latest-fold minimum,rolling_user_norm,0.0448662733882464
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,Previous-window winner,rolling_user_norm,0.0448662733882464
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,Follow-the-leader,rolling_user_norm,0.0448662733882464
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,Global-CQR,rolling_global_norm,0.0555410321331953
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,Segment-CQR,rolling_group_norm,0.05102249181307
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,User-CQR,rolling_user_norm,0.0448662733882464
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,Ex-post best fixed,rolling_user_norm,0.0448662733882464
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-10,3,Month-wise oracle,rolling_user_norm,0.0448662733882464
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,CSGR,rolling_user_norm,0.0479181279945317
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,Mean-fold minimum,rolling_user_norm,0.0479181279945317
