dataset,configuration,window,coverage,horizon_hours,method,half_life_days,n,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,user_coverage_std,max_abs_cluster_coverage_gap,mean_calibration_age_days,effective_weight_sum,erw_global_correction,picp_abs_gap,l05
Ausgrid,persistence_qi__c90__h1,2012-07,0.9,1.0,rolling_global_norm,,444912,0.8856627827525443,1.135197146803845,2.1749208403455187,0.0404340633653396,0.0492690087424606,0.0326139418377321,16.47481569652361,271620.33269672527,0.4697812037948175,0.014337217247455736,0.03652400260153585
Ausgrid,persistence_qi__c90__h1,2012-07,0.9,1.0,rolling_group_norm,,444912,0.8856178300427949,1.1440152439462512,2.1682831189477207,0.0392904664293163,0.0481715924509567,0.0170948342755792,16.47481569652361,271620.33269672527,0.4697812037948175,0.014382169957205093,0.02819265035244775
Ausgrid,persistence_qi__c90__h1,2012-07,0.9,1.0,rolling_user_norm,,444912,0.8841905815082534,1.1875377878618791,2.1188244128664038,0.0285714927895853,0.0397506886806089,0.0200254960647378,16.47481569652361,271620.33269672527,0.4697812037948175,0.015809418491746663,0.02429849442716155
Ausgrid,persistence_qi__c90__h1,2012-07,0.9,1.0,erw_global_norm,14.0,444912,0.8954669687488762,1.214031001610388,2.167470914601419,0.0381936203114323,0.0475784670076972,0.0232435239491691,16.47481569652361,271620.33269672527,0.4697812037948175,0.004533031251123809,0.0307185721303007
Ausgrid,persistence_qi__c90__h1,2012-07,0.9,1.0,erw_group_norm,14.0,444912,0.895619807962024,1.229319888213012,2.1603182972359,0.0367883986046678,0.0462184937694775,0.0047384927372193,16.47481569652361,271620.33269672527,0.4697812037948175,0.004380192037976016,0.02076344567094355
Ausgrid,persistence_qi__c90__h1,2012-07,0.9,1.0,erw_user_norm,14.0,444912,0.8945656669184019,1.2768234437559371,2.1011888174931337,0.0220587442011004,0.0365257300637409,0.006979547721982,16.47481569652361,271620.33269672527,0.4697812037948175,0.0054343330815981306,0.0145191459615412
Ausgrid,persistence_qi__c90__h1,2012-08,0.9,1.0,rolling_global_norm,,444912,0.91421449634984,1.2518579608019391,2.010268173360686,0.0343964649189053,0.0400482248065854,0.0245543293718165,16.47481569652361,271620.33269672527,0.5324930570802374,0.014214496349839956,0.0294753971453609
Ausgrid,persistence_qi__c90__h1,2012-08,0.9,1.0,rolling_group_norm,,444912,0.9142100010788652,1.2684298191393684,2.0073663728405915,0.0330685618729096,0.0389222926391162,0.0164451979472141,16.47481569652361,271620.33269672527,0.5324930570802374,0.014210001078865164,0.02475687991006185
Ausgrid,persistence_qi__c90__h1,2012-08,0.9,1.0,rolling_user_norm,,444912,0.9085684360053224,1.3099271244996826,1.984372257069158,0.0280572337900528,0.0495440681833436,0.0111901056404452,16.47481569652361,271620.33269672527,0.5324930570802374,0.008568436005322422,0.019623669715249
Ausgrid,persistence_qi__c90__h1,2012-08,0.9,1.0,erw_global_norm,14.0,444912,0.9146752616247708,1.2569211111230674,2.010963663615552,0.0344823245945265,0.0399645270982798,0.0249846727032635,16.47481569652361,271620.33269672527,0.5324930570802374,0.01467526162477073,0.029733498648894997
Ausgrid,persistence_qi__c90__h1,2012-08,0.9,1.0,erw_group_norm,14.0,444912,0.914855072463768,1.2734220434503318,2.008076452119355,0.0332542165641744,0.0388471607341435,0.0164146505376343,16.47481569652361,271620.33269672527,0.5324930570802374,0.014855072463767938,0.02483443355090435
Ausgrid,persistence_qi__c90__h1,2012-08,0.9,1.0,erw_user_norm,14.0,444912,0.9102519149854352,1.3225117243995894,1.9788272429745128,0.0261435969360232,0.0436726480101751,0.0116794001131861,16.47481569652361,271620.33269672527,0.5324930570802374,0.010251914985435207,0.01891149852460465
Ausgrid,persistence_qi__c90__h1,2012-09,0.9,1.0,rolling_global_norm,,430560,0.9464395206243033,1.172320039283531,1.529155264264057,0.0486134336677814,0.0261626053589506,0.0511741122565864,16.47481569652361,271620.33269672527,0.3019553803088983,0.04643952062430323,0.0498937729621839
Ausgrid,persistence_qi__c90__h1,2012-09,0.9,1.0,rolling_group_norm,,430560,0.9457729468599034,1.1869364870552213,1.5391181583013926,0.0485414344109996,0.0273012751926216,0.0554845328282828,16.47481569652361,271620.33269672527,0.3019553803088983,0.04577294685990341,0.0520129836196412
Ausgrid,persistence_qi__c90__h1,2012-09,0.9,1.0,rolling_user_norm,,430560,0.935716276477146,1.2285344648307062,1.5754470853730402,0.0519416573764399,0.0644954952490506,0.0453178694158075,16.47481569652361,271620.33269672527,0.3019553803088983,0.035716276477145925,0.0486297633961237
Ausgrid,persistence_qi__c90__h1,2012-09,0.9,1.0,erw_global_norm,14.0,430560,0.939629784466741,1.0992509787219316,1.4964343987581392,0.0427373652917131,0.0273515310159249,0.0440936426116838,16.47481569652361,271620.33269672527,0.3019553803088983,0.039629784466740925,0.04341550395169845
Ausgrid,persistence_qi__c90__h1,2012-09,0.9,1.0,erw_group_norm,14.0,430560,0.9392372723894464,1.111966905934057,1.5041795910850748,0.0429998141954663,0.0283785924245448,0.0489188762626262,16.47481569652361,271620.33269672527,0.3019553803088983,0.03923727238944641,0.04595934522904625
Ausgrid,persistence_qi__c90__h1,2012-09,0.9,1.0,erw_user_norm,14.0,430560,0.9322765700483092,1.155943158962255,1.527577493549196,0.0457148829431437,0.0583318210071603,0.040693012600229,16.47481569652361,271620.33269672527,0.3019553803088983,0.032276570048309194,0.043203947771686346
Ausgrid,persistence_qi__c90__h1,2012-10,0.9,1.0,rolling_global_norm,,444912,0.9305323299888516,0.93933830047915,1.3386388664000968,0.0362080591218038,0.0287603783403693,0.0361974836492627,16.47481569652361,271620.33269672527,-0.0762522684966208,0.03053232998885158,0.03620277138553325
