dataset,forecaster_key,window,window_order,scenario,comparison,target,base,delta_picp,delta_mpiw,delta_winkler_interval_score,delta_macro_user_abs_coverage_gap,delta_max_abs_cluster_coverage_gap,delta_joint_loss,relative_mpiw_change,relative_winkler_interval_score_change
Ausgrid,persistence,2012-07,0,O,aci_global_vs_static_global,aci_global,static_global,0.013564480166864401,0.04564890566217028,-0.0025396691152914652,-0.0028252778077462945,-0.012539711632453598,-0.00768249472009995,0.073918919998328,-0.0016321619957461381
Ausgrid,persistence,2012-08,1,O,aci_global_vs_static_global,aci_global,static_global,-0.014922052001294595,-0.048595379272464934,-0.006551994250639126,-0.0019046463120796983,-0.015020750801735504,-0.008462698556907608,-0.07180170856709862,-0.004595195597988904
Ausgrid,persistence,2012-09,2,O,aci_global_vs_static_global,aci_global,static_global,-0.05291713117800079,-0.14258381366981304,-0.03243847962379709,-0.027290040876997303,-0.048833046964490395,-0.03806154392074384,-0.22581330252206847,-0.031127404081426495
Ausgrid,persistence,2012-10,3,O,aci_global_vs_static_global,aci_global,static_global,-0.03171638436364943,-0.06629919469836676,-0.008878704824563988,-0.011109163160355297,-0.028599933488526796,-0.019854548324441047,-0.12888314781915053,-0.00950392209875715
Ausgrid,persistence,2012-11,4,O,aci_global_vs_static_global,aci_global,static_global,-0.009392419175027866,-0.01599945986088286,-0.0006075404117336092,0.0003948346339650993,-0.006113283997508,-0.0028592246817714523,-0.0362769297356302,-0.000659106260891519
Ausgrid,persistence,2012-12,5,O,aci_global_vs_static_global,aci_global,static_global,-0.008875912540007969,-0.014302832811288801,-0.0007271661481872416,0.0005147085266299992,-0.0101722873900293,-0.004828789431699648,-0.033202761466294535,-0.0007711450613634704
Ausgrid,persistence,2013-01,6,O,aci_global_vs_static_global,aci_global,static_global,0.0034568633797245063,0.006501520552172235,-8.396874298322032e-05,-0.0005547164383069014,-0.003708026787398601,-0.002131371612852751,0.015566234718003091,-8.06692438844558e-05
Ausgrid,persistence,2013-02,7,O,aci_global_vs_static_global,aci_global,static_global,-0.0025680840898232304,-0.0035439221570673363,-3.309774495718898e-05,0.0005076445293837051,-0.00031737419149240054,9.513516894565227e-05,-0.008456263003892453,-3.511175945829781e-05
Ausgrid,persistence,2013-03,8,O,aci_global_vs_static_global,aci_global,static_global,-0.002209425684180255,-0.0030003926836482675,-3.913917905196129e-05,3.011831553199895e-05,0.0015672696832501002,0.0007986939993910522,-0.007116296017586844,-4.1667737780159054e-05
Ausgrid,persistence,2013-04,9,O,aci_global_vs_static_global,aci_global,static_global,0.010718599033816445,0.019000444334406175,-0.00048288784933858686,-0.0021762356001487,-0.011647173489278802,-0.006911704544713751,0.04572527308008739,-0.0005209845988123032
