scenario,method_name,dataset,forecaster_key,window,window_order,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,joint_loss,selected_static_policy,router_loss_audit
M,static_segment,UCI Electricity,lgbm,2014-07,6,0.8011923603683253,561.5630208835462,673.327553789745,0.0428539289477942,0.0066303038889281,0.02474211641836115,,
M,static_user,UCI Electricity,lgbm,2014-07,6,0.8017804493947419,523.5595653993068,661.9794631704037,0.0295532496852342,0.0067471842459445,0.01815021696558935,,
M,static_global,UCI Electricity,lgbm,2014-08,7,0.8054402181849757,572.9736658997814,710.6163455489624,0.0421093450898513,0.025986399376638,0.03404787223324465,,
M,static_segment,UCI Electricity,lgbm,2014-08,7,0.8056503909410608,566.1960488496201,709.3830942112763,0.0406878668155965,0.0123224166292806,0.026505141722438553,,
M,static_user,UCI Electricity,lgbm,2014-08,7,0.8066094891519283,526.4991170965071,705.7582161572641,0.0265283407600951,0.0202856288320621,0.023406984796078598,,
M,static_global,UCI Electricity,lgbm,2014-09,8,0.8068706944722019,549.2053828593398,651.5096336767072,0.0406101256632908,0.0227911573091281,0.03170064148620945,,
M,static_segment,UCI Electricity,lgbm,2014-09,8,0.8065525595585267,541.7940322689299,648.8914653197385,0.041534756239319,0.009724312686951,0.025629534463135,,
M,static_user,UCI Electricity,lgbm,2014-09,8,0.8063710595116221,506.4461128145218,636.1756491973163,0.0289716900713356,0.0162442693040745,0.02260797968770505,,
M,static_global,UCI Electricity,lgbm,2014-10,9,0.7882583486933767,435.3069800312061,611.1617454743005,0.0450791946732553,0.0896540551318478,0.06736662490255155,,
M,static_segment,UCI Electricity,lgbm,2014-10,9,0.78983908463351,427.7633110495982,612.3104927124946,0.0429387874314718,0.0230183466742226,0.0329785670528472,,
M,static_user,UCI Electricity,lgbm,2014-10,9,0.7897867881261273,389.559498271509,622.9902370466141,0.0341393573647296,0.026886023942764,0.030512690653746802,,
M,static_global,UCI Electricity,lgbm,2014-11,10,0.8102998217628753,355.6778304829471,449.19415805906107,0.0428397211832987,0.0195373691530633,0.031188545168181002,,
M,static_segment,UCI Electricity,lgbm,2014-11,10,0.8098287373714714,351.76251419356174,448.4733405526874,0.0421585861758143,0.0122693873403572,0.02721398675808575,,
M,static_user,UCI Electricity,lgbm,2014-11,10,0.8075885373543411,329.76587743075095,451.6134343219883,0.0362443357710081,0.013205068768351,0.02472470226967955,,
M,static_global,UCI Electricity,lgbm,2014-12,11,0.7886678402134487,348.6280430394618,424.07938165752057,0.0478513042551596,0.0390459099745775,0.043448607114868545,,
M,static_segment,UCI Electricity,lgbm,2014-12,11,0.7873436531774568,344.7630564390647,422.8277172681625,0.0463206940239893,0.0169193171353687,0.031620005579679,,
M,static_user,UCI Electricity,lgbm,2014-12,11,0.7881419149599587,334.5310151207266,422.9664501684074,0.0407896969960096,0.0176560175674719,0.02922285728174075,,
M,static_global,London,persistence,2013-03,0,0.8057819023526027,0.4100307390446697,1.0412367994773426,0.041879848138498,0.0305214233603567,0.03620063574942735,,
M,static_segment,London,persistence,2013-03,0,0.8057146928120741,0.4335881948056164,1.0389582466746925,0.0393475893372047,0.0078708096141681,0.023609199475686397,,
M,static_user,London,persistence,2013-03,0,0.8058477677023209,0.4462708421717844,1.0267276053636976,0.0289708551691943,0.0062814880660398,0.01762617161761705,,
M,static_global,London,persistence,2013-04,1,0.8244241404651331,0.4006838853390632,0.9235721037797716,0.0404613404641158,0.0287525834980983,0.03460696198110705,,
M,static_segment,London,persistence,2013-04,1,0.8242421548211609,0.4247607903937214,0.926057247987884,0.0403796586809992,0.0378914024849875,0.03913553058299335,,
M,static_user,London,persistence,2013-04,1,0.8213665038057227,0.4388158919235085,0.9249930817411132,0.0375817243419501,0.0312088693899329,0.0343952968659415,,
M,static_global,London,persistence,2013-05,2,0.8324584668036881,0.3725492735190747,0.8174198161790813,0.0466701577607178,0.033138925683557,0.0399045417221374,,
M,static_segment,London,persistence,2013-05,2,0.8323065693626894,0.3894731795552431,0.8214555325758369,0.0473391843274014,0.055387817991083,0.051363501159242195,,
M,static_user,London,persistence,2013-05,2,0.8299649291660561,0.4021058287320966,0.825145622680827,0.0449704991359335,0.0489624311565696,0.04696646514625155,,
M,static_global,London,persistence,2013-06,3,0.8173404205068644,0.3330386183333307,0.7572859131709494,0.0468151195408305,0.0375338753387533,0.0421744974397919,,
