dataset,forecaster,coverage_target,horizon_hours,window,global_macro_user_gap,global_max_audit_group_gap,global_weighted_mean_audit_group_gap,user_macro_user_gap,user_max_audit_group_gap,user_weighted_mean_audit_group_gap,delta_user_gap_user_minus_global,delta_group_gap_user_minus_global,delta_weighted_mean_group_gap_user_minus_global,personalization_conflict,weighted_mean_group_conflict
Ausgrid,lightgbm_quantile,0.8,1.0,2012-11,0.03705174656261614,0.009388888888888891,0.006816703827573432,0.02535535117056858,0.009166666666666656,0.00677489780750655,-0.01169639539204756,-0.00022222222222223476,-4.180602006688232e-05,0,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-12,0.03976786420685438,0.0027397632236342284,0.0019050958391771814,0.025716546193404542,0.006439393939393967,0.004898946308483456,-0.014051318013449839,0.0036996307157597386,0.0029938504693062746,1,1
Ausgrid,lightgbm_quantile,0.8,1.0,2013-01,0.0436306505556155,0.009901433691756334,0.006753245585643956,0.02799564857769627,0.010682089714347809,0.00608120257489125,-0.015635001977919227,0.0007806560225914749,-0.0006720430107527058,1,0
Ausgrid,lightgbm_quantile,0.8,1.0,2013-02,0.04267399267399266,0.010148809523809477,0.00693581780538298,0.029577261506609318,0.006614583333333313,0.0047036749482401675,-0.013096731167383344,-0.003534226190476164,-0.002232142857142813,0,0
Ausgrid,lightgbm_quantile,0.8,1.0,2013-03,0.040812565181429124,0.008649193548387002,0.006779767684395923,0.024473603768835183,0.009132996632996604,0.004979411658934758,-0.01633896141259394,0.000483803084609602,-0.0018003560254611648,1,0
Ausgrid,lightgbm_quantile,0.8,1.0,2013-04,0.04022435897435898,0.007147867564534227,0.005743682645856589,0.02930602006688964,0.009652777777777843,0.008663136380527727,-0.010918338907469335,0.0025049102132436163,0.002919453734671139,1,1
Ausgrid,lightgbm_quantile,0.8,1.0,2013-05,0.04190311791994822,0.014180107526881813,0.011632862228935226,0.03089419930233396,0.01881048387096773,0.01645179271406482,-0.011008918617614258,0.004630376344085918,0.004818930485129595,1,1
Ausgrid,lightgbm_quantile,0.8,1.0,2013-06,0.04273272017837236,0.015270833333333345,0.01190310293571164,0.030309364548495,0.020770833333333405,0.01458101077666301,-0.012423355629877359,0.00550000000000006,0.0026779078409513695,1,1
Ausgrid,lightgbm_quantile,0.8,6.0,2012-07,0.05788830150681484,0.03245967741935485,0.01695076779228258,0.040940680404214766,0.02938844086021508,0.017074387744093266,-0.016947621102600077,-0.0030712365591397672,0.00012361995181068772,0,1
Ausgrid,lightgbm_quantile,0.8,6.0,2012-08,0.05737988635954974,0.009455645161290382,0.007325943107850541,0.03580977811342468,0.0035954301075268313,0.002381145035422715,-0.021570108246125062,-0.005860215053763551,-0.004944798072427826,0,0
Ausgrid,lightgbm_quantile,0.8,6.0,2012-09,0.0620656819026384,0.027972222222222176,0.020055276848755084,0.05002787068004458,0.03024305555555551,0.01695001858045335,-0.01203781122259382,0.002270833333333333,-0.0031052582683017346,1,0
Ausgrid,lightgbm_quantile,0.8,6.0,2012-10,0.052764142122487145,0.011408439231019973,0.0069600280504909535,0.038522224619700084,0.012833985011404425,0.010403405617290676,-0.014241917502787062,0.0014255457803844518,0.0034433775667997227,1,1
Ausgrid,lightgbm_quantile,0.8,6.0,2012-11,0.05178372352285396,0.012631944444444487,0.011533816425120842,0.039183853586027516,0.020652777777777853,0.014104886659234555,-0.012599869936826442,0.008020833333333366,0.0025710702341137127,1,1
Ausgrid,lightgbm_quantile,0.8,6.0,2012-12,0.052526791815010604,0.008178763440860215,0.005440626460963068,0.03776522098752112,0.00416530900401868,0.0021995360880353457,-0.014761570827489481,-0.004013454436841535,-0.003241090372927722,0,0
Ausgrid,lightgbm_quantile,0.8,6.0,2013-01,0.05664535908224548,0.02305718475073315,0.017339608731614355,0.04192154853094546,0.020918866080156473,0.01843195957852342,-0.014723810551300023,-0.0021383186705766777,0.001092350846909066,0,1
Ausgrid,lightgbm_quantile,0.8,6.0,2013-02,0.062291965281095686,0.01912202380952377,0.017765567765567696,0.04236691750278705,0.022683682058681987,0.018096532091097288,-0.019925047778308634,0.003561658249158217,0.00033096432552959243,1,1
Ausgrid,lightgbm_quantile,0.8,6.0,2013-03,0.05967247455676626,0.01750672043010748,0.011012065307296693,0.03398919336857625,0.012607526881720399,0.011794242456935231,-0.025683281188190014,-0.004899193548387082,0.0007821771496385379,0,1
Ausgrid,lightgbm_quantile,0.8,6.0,2013-04,0.05816610925306577,0.013145342312009034,0.00866313638052776,0.04352471200297288,0.015354166666666669,0.014371980676328519,-0.014641397250092891,0.0022088243546576347,0.005708844295800758,1,1
Ausgrid,lightgbm_quantile,0.8,6.0,2013-05,0.06894531952386089,0.024156891495601185,0.016831643111446786,0.04975860394864603,0.025657108721624855,0.020319973387995884,-0.019186715575214862,0.0015002172260236701,0.0034883302765490974,1,1
Ausgrid,lightgbm_quantile,0.8,6.0,2013-06,0.06966508732813081,0.030875000000000097,0.022382478632478678,0.043243682645856575,0.03140972222222227,0.024314845782237138,-0.02642140468227424,0.0005347222222221726,0.00193236714975846,1,1
Ausgrid,lightgbm_quantile,0.9,1.0,2012-07,0.02597547380156076,0.011531986531986504,0.006866076887114759,0.017748228863235873,0.009475806451612945,0.00605692811162659,-0.008227244938324888,-0.0020561800803735597,-0.0008091487754881685,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2012-08,0.023410921710360688,0.012096774193548376,0.00849651166972342,0.017985129643614896,0.008689516129032238,0.007269302693566331,-0.005425792066745792,-0.0034072580645161388,-0.0012272089761570897,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2012-09,0.028555834262355983,0.023520833333333324,0.019130899293942755,0.025148643626904478,0.01954166666666668,0.017512077294685978,-0.003407190635451505,-0.003979166666666645,-0.0016188219992567775,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2012-10,0.023774139605135393,0.006202956989247332,0.0038924551371956797,0.01719396195202646,0.004213709677419297,0.002729079008882645,-0.0065801776531089345,-0.001989247311828035,-0.0011633761283130345,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2012-11,0.02325575994054255,0.004545454545454519,0.0021901709401709268,0.016829245633593455,0.0069722222222222685,0.0037904124860646937,-0.006426514306949096,0.0024267676767677493,0.001600241545893767,1,1
Ausgrid,lightgbm_quantile,0.9,1.0,2012-12,0.024016434710684348,0.0066397849462365155,0.005373646923436518,0.01661766821303987,0.0034946236559139088,0.0027866184773617875,-0.007398766497644479,-0.0031451612903226067,-0.002587028446074731,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2013-01,0.02614269788182832,0.015727164114260894,0.008349516308843136,0.0179181501060884,0.010140382317801677,0.008201172366670277,-0.008224547775739922,-0.005586781796459217,-0.00014834394217285926,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2013-02,0.024575967510750113,0.008660714285714244,0.006195254021340943,0.017601329829590687,0.008143939393939426,0.0053690874343048514,-0.006974637681159426,-0.0005167748917748183,-0.0008261665870360913,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2013-03,0.024221419067141356,0.008918010752688166,0.005908584169453744,0.015180080555255854,0.005248655913978495,0.004792408386377519,-0.009041338511885502,-0.003669354838709671,-0.001116175783076225,0,0
Ausgrid,lightgbm_quantile,0.9,1.0,2013-04,0.025039483463396503,0.009048821548821584,0.00350473801560762,0.018949739873652914,0.005229166666666729,0.004489502043849897,-0.006089743589743589,-0.003819654882154855,0.000984764028242277,0,1
Ausgrid,lightgbm_quantile,0.9,1.0,2013-05,0.028350325457618595,0.014450961225154768,0.011048926529291205,0.02024535188981192,0.014254032258064542,0.011066907613190935,-0.008104973567806675,-0.00019692896709022634,1.7981083899729425e-05,0,1
Ausgrid,lightgbm_quantile,0.9,1.0,2013-06,0.03147761055369752,0.021317340067340096,0.01788600891861764,0.024547101449275376,0.021673611111111102,0.01807645856558899,-0.006930509104422146,0.00035627104377100594,0.00019044964697135028,1,1
Ausgrid,lightgbm_quantile,0.9,6.0,2012-07,0.03215332470241306,0.011807795698924761,0.009444114791239614,0.023197845866148804,0.01277553763440864,0.009426133707339902,-0.008955478836264259,0.000967741935483879,-1.7981083899712078e-05,1,0
Ausgrid,lightgbm_quantile,0.9,6.0,2012-08,0.02902821232063867,0.007889784946236489,0.005026162477074056,0.021006850792965784,0.006450255240577851,0.004199032617686184,-0.008021361527672886,-0.0014395297056586376,-0.0008271298593878719,0,0
Ausgrid,lightgbm_quantile,0.9,6.0,2012-09,0.03576505016722406,0.02575694444444443,0.0188939985135637,0.030267558528428072,0.019993055555555528,0.014395206243032335,-0.0054974916387959885,-0.005763888888888902,-0.004498792270531366,0,0
Ausgrid,lightgbm_quantile,0.9,6.0,2012-10,0.03015068148307979,0.0056720430107526365,0.004933110367892981,0.02083872765850325,0.0047647849462365555,0.0037171395691732337,-0.00931195382457654,-0.000907258064516081,-0.0012159707987197473,0,0
Ausgrid,lightgbm_quantile,0.9,6.0,2012-11,0.029598662207357847,0.00836840628507296,0.004157376439985162,0.024133686361947227,0.013652777777777847,0.008790876997398752,-0.00546497584541062,0.005284371492704887,0.00463350055741359,1,1
Ausgrid,lightgbm_quantile,0.9,6.0,2012-12,0.030865879095191857,0.009108558705332892,0.004036303808393568,0.023324612507641958,0.005958781362007226,0.005160121552127216,-0.007541266587549899,-0.003149777343325666,0.0011238177437336476,0,1
Ausgrid,lightgbm_quantile,0.9,6.0,2013-01,0.03508019563419284,0.022915987835342655,0.015861114107958433,0.02795114539504442,0.018212365591397828,0.017216438306901134,-0.007129050239148418,-0.004703622243944827,0.0013553241989427006,0,1
Ausgrid,lightgbm_quantile,0.9,6.0,2013-02,0.03398281971651536,0.019962797619047623,0.016201325848064975,0.026110845676063053,0.017831589706589712,0.014626134734830381,-0.007871974040452305,-0.002131207912457911,-0.0015751911132345937,0,0
Ausgrid,lightgbm_quantile,0.9,6.0,2013-03,0.03264375876577839,0.011841397849462365,0.0089842485705038,0.020801866436508776,0.010597914630172678,0.008820171179918679,-0.011841892329269611,-0.0012434832192896872,-0.00016407739058512186,0,0
Ausgrid,lightgbm_quantile,0.9,6.0,2013-04,0.03123374210330731,0.006341189674523018,0.002926421404682273,0.02631224451876625,0.008873456790123524,0.007155797101449303,-0.004921497584541058,0.002532267115600506,0.00422937569676703,1,1
Ausgrid,lightgbm_quantile,0.9,6.0,2013-05,0.04023896860502751,0.015218040621266415,0.01317743733592263,0.027755151580537273,0.014442204301075345,0.011903028014528758,-0.012483817024490234,-0.0007758363201910701,-0.0012744093213938722,0,0
Ausgrid,lightgbm_quantile,0.9,6.0,2013-06,0.04265839836492011,0.026816778900112248,0.0241708472686734,0.03166573764399853,0.027013888888888893,0.0235600148643627,-0.01099266072092158,0.00019710998877664476,-0.0006108324043106982,1,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-01,0.04223919830440908,0.016794506842625512,0.009619991869373169,0.02783555609935151,0.012935349814644281,0.008423092558897682,-0.01440364220505757,-0.0038591570279812304,-0.0011968993104754869,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-02,0.04200497353711141,0.019292958600952148,0.011460113368675393,0.027289990428781823,0.014518681666512712,0.010626455895914043,-0.01471498310832959,-0.0047742769344394365,-0.0008336574727613507,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-03,0.045641234118636104,0.013719864938254167,0.00993830985581955,0.03246823727221418,0.013787749994097043,0.00856340507493209,-0.013172996846421925,6.788505584287563e-05,-0.0013749047808874603,1,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-04,0.047730025817871835,0.01306395334650956,0.010151766668434122,0.03358158733007314,0.010447014615816319,0.007842025622096542,-0.014148438487798697,-0.0026169387306932412,-0.00230974104633758,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-05,0.04373981204832592,0.018082217657198196,0.016658904417772152,0.028773341016644107,0.009699889022691366,0.006759076897573875,-0.014966471031681815,-0.00838232863450683,-0.009899827520198277,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-06,0.0399302142516284,0.022248821494947446,0.012493933004050129,0.026560594504423295,0.008989870395214594,0.007938689692020925,-0.013369619747205103,-0.013258951099732852,-0.004555243312029203,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-07,0.04415739472614391,0.02467335246965774,0.015364319178412042,0.029553249685234224,0.009314665491489849,0.0071174559821284,-0.014604145040909688,-0.01535868697816789,-0.008246863196283642,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-08,0.04210934508985131,0.025316523541252245,0.01133847483649946,0.026528340760095182,0.009133786687445355,0.006609489151928231,-0.015581004329756131,-0.01618273685380689,-0.0047289856845712285,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-09,0.04061012566329089,0.024922766379066208,0.009822007594451357,0.028971690071335633,0.01577727350364777,0.0063710595116220825,-0.011638435591955258,-0.009145492875418437,-0.0034509480828292744,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-10,0.04507919467325537,0.01804089631885908,0.01174165130662334,0.03413935736472966,0.021560523588894598,0.012341778397003523,-0.010939837308525713,0.003519627270035519,0.0006001270903801832,1,1
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-11,0.04283972118329873,0.0210056986719509,0.010299821762875251,0.036244335771008114,0.01373069321425957,0.008392847674556139,-0.006595385412290614,-0.00727500545769133,-0.001906974088319113,0,0
UCI Electricity,lightgbm_quantile,0.8,1.0,2014-12,0.04785130425515959,0.018601685910604293,0.011332159786551369,0.04078969699600969,0.018332757655522336,0.011858085040041365,-0.0070616072591499005,-0.00026892825508195717,0.0005259252534899964,0,1
