kind,comparison,stratum,metric,block_months,estimate,ci_low,ci_high
paired_metric,aci_global_vs_static_global,London|lgbm,relative_mpiw_change,2,0.0007760867740844202,-0.0023213271620337495,0.0034819085619195254
paired_metric,aci_global_vs_static_global,London|lgbm,relative_winkler_interval_score_change,2,-6.59256967538491e-05,-0.0001485520134919626,-9.832587220682047e-06
paired_metric,aci_global_vs_static_global,London|lgbm,delta_picp,3,0.0014849926488215855,-0.002146489207829745,0.005018392706835577
paired_metric,aci_global_vs_static_global,London|lgbm,delta_mpiw,3,0.00028698881537414766,-0.0004367407268570151,0.0009923848156219162
paired_metric,aci_global_vs_static_global,London|lgbm,delta_winkler_interval_score,3,-2.9247950732205005e-05,-6.128697509064337e-05,-6.755014869211625e-06
paired_metric,aci_global_vs_static_global,London|lgbm,delta_macro_user_abs_coverage_gap,3,-0.0005210116671509726,-0.0008235872980320277,-0.0002630704272684539
paired_metric,aci_global_vs_static_global,London|lgbm,delta_max_abs_cluster_coverage_gap,3,-0.004091710895729508,-0.007879458874665353,-0.00045471624746550406
paired_metric,aci_global_vs_static_global,London|lgbm,delta_joint_loss,3,-0.0023063612814402407,-0.004323496081752496,-0.00040353988484929677
paired_metric,aci_global_vs_static_global,London|lgbm,relative_mpiw_change,3,0.0007760867740844202,-0.001954824330293885,0.0033767182006596147
paired_metric,aci_global_vs_static_global,London|lgbm,relative_winkler_interval_score_change,3,-6.59256967538491e-05,-0.0001490172355330236,-1.0264177495741795e-05
paired_metric,aci_global_vs_static_global,London|persistence,delta_picp,2,-0.0013256707866122158,-0.015372512335364501,0.01325695079074084
paired_metric,aci_global_vs_static_global,London|persistence,delta_mpiw,2,-0.0030775029933046605,-0.023480279850219554,0.017513370045142054
paired_metric,aci_global_vs_static_global,London|persistence,delta_winkler_interval_score,2,-0.0022488456321416617,-0.0032541427284794645,-0.0012279557734943874
paired_metric,aci_global_vs_static_global,London|persistence,delta_macro_user_abs_coverage_gap,2,-0.004040452418730528,-0.007704061739322333,-0.0007057096279904091
paired_metric,aci_global_vs_static_global,London|persistence,delta_max_abs_cluster_coverage_gap,2,-0.018080329349713528,-0.025304749890843404,-0.009185022597207227
paired_metric,aci_global_vs_static_global,London|persistence,delta_joint_loss,2,-0.011060390884222027,-0.016026045636524645,-0.00566448285004267
paired_metric,aci_global_vs_static_global,London|persistence,relative_mpiw_change,2,-0.00512360289467343,-0.06384366908184026,0.05554551954525079
paired_metric,aci_global_vs_static_global,London|persistence,relative_winkler_interval_score_change,2,-0.0027325983699002052,-0.0038709391616265024,-0.0014826610147846207
paired_metric,aci_global_vs_static_global,London|persistence,delta_picp,3,-0.0013256707866122158,-0.016947845464332135,0.015275247846699395
paired_metric,aci_global_vs_static_global,London|persistence,delta_mpiw,3,-0.0030775029933046605,-0.02606937971100841,0.020840287199965453
paired_metric,aci_global_vs_static_global,London|persistence,delta_winkler_interval_score,3,-0.0022488456321416617,-0.0030831627697010784,-0.0012676852140950682
paired_metric,aci_global_vs_static_global,London|persistence,delta_macro_user_abs_coverage_gap,3,-0.004040452418730528,-0.007797086751256214,-0.0008150490954338828
paired_metric,aci_global_vs_static_global,London|persistence,delta_max_abs_cluster_coverage_gap,3,-0.018080329349713528,-0.02543272402152288,-0.008581736556153729
paired_metric,aci_global_vs_static_global,London|persistence,delta_joint_loss,3,-0.011060390884222027,-0.01603783910809396,-0.005450098270525691
paired_metric,aci_global_vs_static_global,London|persistence,relative_mpiw_change,3,-0.00512360289467343,-0.07105153426946695,0.0648483654441955
paired_metric,aci_global_vs_static_global,London|persistence,relative_winkler_interval_score_change,3,-0.0027325983699002052,-0.003808908322596023,-0.0014826500525997113
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_picp,2,-0.0006729119674803441,-0.0039058481504465337,0.0023546775662979433
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_mpiw,2,0.25038197441738436,-0.29612464371601277,0.7799998727002981
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_winkler_interval_score,2,0.005936603138186077,-0.17206137081581593,0.17737682951484146
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_macro_user_abs_coverage_gap,2,-0.00021160215069393243,-0.0012284797065644914,0.0010422408609623763
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_max_abs_cluster_coverage_gap,2,0.0034008460019337244,-0.01452520777349621,0.02439908043704567
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_joint_loss,2,0.001594621925619897,-0.007809343031425684,0.012674764433945851
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,relative_mpiw_change,2,0.0006830982900235776,-0.0007344006826235654,0.0020321237837969326
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,relative_winkler_interval_score_change,2,1.7211762303501693e-05,-0.00039279643471562667,0.0003791673913225486
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_picp,3,-0.0006729119674803441,-0.0034374010518321034,0.00229369791098194
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_mpiw,3,0.25038197441738436,-0.20792270078601804,0.7693752451545445
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_winkler_interval_score,3,0.005936603138186077,-0.12911091358994042,0.17387073060401784
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_macro_user_abs_coverage_gap,3,-0.00021160215069393243,-0.0012463008710214662,0.000904743430132907
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_max_abs_cluster_coverage_gap,3,0.0034008460019337244,-0.013381607499757893,0.02425368575906204
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,delta_joint_loss,3,0.001594621925619897,-0.007351889494653808,0.01252695660962736
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,relative_mpiw_change,3,0.0006830982900235776,-0.0004166372544634489,0.0019617995896014473
paired_metric,aci_global_vs_static_global,UCI Electricity|lgbm,relative_winkler_interval_score_change,3,1.7211762303501693e-05,-0.00027561812487165576,0.0003606691995207429
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_picp,2,-0.0023978562976026685,-0.005845664836137021,0.0015616638565552358
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_mpiw,2,-0.3205630450263565,-3.8286167916091824,3.6112489335750433
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_winkler_interval_score,2,-0.5430954122519486,-1.7629422790136648,0.31888165950477304
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_macro_user_abs_coverage_gap,2,-0.0007497019398684147,-0.0013002740288770055,-0.0002216405193040907
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_max_abs_cluster_coverage_gap,2,0.009919024941053031,2.2816275056306012e-06,0.019603855881344317
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_joint_loss,2,0.004584661500592309,-0.00033952721940568763,0.009293365160222385
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,relative_mpiw_change,2,-0.000962864887407084,-0.016418823455467087,0.016577013642450386
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,relative_winkler_interval_score_change,2,-0.0010418038954326482,-0.003138546509442481,0.0005448739190663869
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_picp,3,-0.0023978562976026685,-0.005696773977698809,0.0011532358794325477
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_mpiw,3,-0.3205630450263565,-3.557992353182487,3.2891975278795735
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_winkler_interval_score,3,-0.5430954122519486,-1.63989340479259,0.3227900767504887
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_macro_user_abs_coverage_gap,3,-0.0007497019398684147,-0.0013293433379931389,-0.00025042580242242395
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_max_abs_cluster_coverage_gap,3,0.009919024941053031,0.0005006443869197633,0.0191266646003616
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,delta_joint_loss,3,0.004584661500592309,-8.491845748138012e-05,0.009043554726099936
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,relative_mpiw_change,3,-0.000962864887407084,-0.015329231207188468,0.014950077822053237
paired_metric,aci_global_vs_static_global,UCI Electricity|persistence,relative_winkler_interval_score_change,3,-0.0010418038954326482,-0.0028941761467859927,0.000555137616653535
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_picp,2,-0.00036857622803069097,-0.004986884310898459,0.0045079394491761
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_mpiw,2,-0.04200014842597284,-1.2950592275054285,1.2997879903144138
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_winkler_interval_score,2,-0.256280899437224,-0.594498020382295,0.03485335472654864
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_macro_user_abs_coverage_gap,2,-0.00241946377571346,-0.003763211856566623,-0.0011579326030151619
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_max_abs_cluster_coverage_gap,2,-0.015670741534916266,-0.018966891879338556,-0.012442193455778669
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_joint_loss,2,-0.009045102655314859,-0.011294309337434184,-0.006895386945269576
paired_metric,aci_segment_vs_static_segment,all_synchronized,relative_mpiw_change,2,0.0007821091384826788,-0.019950640810254335,0.022650696733101095
paired_metric,aci_segment_vs_static_segment,all_synchronized,relative_winkler_interval_score_change,2,-0.0023217205954102495,-0.003730946950514605,-0.0011299988966435098
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_picp,3,-0.00036857622803069097,-0.005390592775925888,0.004805060716558302
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_mpiw,3,-0.04200014842597284,-1.3721222413975054,1.451793375751191
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_winkler_interval_score,3,-0.256280899437224,-0.6220069465196296,0.04597426939997495
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_macro_user_abs_coverage_gap,3,-0.00241946377571346,-0.0036574051751998666,-0.001210506404758835
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_max_abs_cluster_coverage_gap,3,-0.015670741534916266,-0.018800208661509256,-0.01248037498407548
paired_metric,aci_segment_vs_static_segment,all_synchronized,delta_joint_loss,3,-0.009045102655314859,-0.011180848699484975,-0.006895574205438699
paired_metric,aci_segment_vs_static_segment,all_synchronized,relative_mpiw_change,3,0.0007821091384826788,-0.02186809066151699,0.024233297166864932
paired_metric,aci_segment_vs_static_segment,all_synchronized,relative_winkler_interval_score_change,3,-0.0023217205954102495,-0.0036368306809357927,-0.0011216049301797754
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_picp,2,0.0016224806503558065,-0.0029544391175483757,0.005979996543636086
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_mpiw,2,0.0005807740396433225,-0.0008325025934599918,0.001968591300067953
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_winkler_interval_score,2,-7.843768408060299e-05,-0.00011567888243166347,-4.476793785397106e-05
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_macro_user_abs_coverage_gap,2,-0.0007411506666415492,-0.00117878402634715,-0.00034746060983130856
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_max_abs_cluster_coverage_gap,2,-0.009170180260385208,-0.011367690878867766,-0.007077858556863693
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_joint_loss,2,-0.004955665463513379,-0.0062348498156806825,-0.0037587264384546424
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,relative_mpiw_change,2,0.0011213917250151469,-0.0020814635948633686,0.0041049869943803295
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,relative_winkler_interval_score_change,2,-0.00010779650600350228,-0.0001588840579275473,-6.418167371643698e-05
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_picp,3,0.0016224806503558065,-0.0023605042495295214,0.005990923017735326
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_mpiw,3,0.0005807740396433225,-0.0006556859943848692,0.0019455167669211043
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_winkler_interval_score,3,-7.843768408060299e-05,-0.00011378426487210214,-4.112545344575613e-05
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_macro_user_abs_coverage_gap,3,-0.0007411506666415492,-0.0011416842606577907,-0.00033701867064419205
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_max_abs_cluster_coverage_gap,3,-0.009170180260385208,-0.01130785621730814,-0.006860747119845149
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,delta_joint_loss,3,-0.004955665463513379,-0.0061920326415889895,-0.0036382535896989795
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,relative_mpiw_change,3,0.0011213917250151469,-0.001637702987431271,0.00391944604269091
paired_metric,aci_segment_vs_static_segment,Ausgrid|lgbm,relative_winkler_interval_score_change,3,-0.00010779650600350228,-0.00015368178928042758,-6.033418809669289e-05
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_picp,2,-0.0011273194171160517,-0.01993139255449695,0.017287356379660033
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_mpiw,2,-0.002087093927515854,-0.05392806942092741,0.04811820735160188
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_winkler_interval_score,2,-0.008161814258156245,-0.01583383975729269,-0.0017486964644429647
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_macro_user_abs_coverage_gap,2,-0.007279203884656191,-0.013894338758304836,-0.0012897489207425322
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_max_abs_cluster_coverage_gap,2,-0.025082585587685783,-0.03882203711974774,-0.012480860619240133
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_joint_loss,2,-0.01618089473617099,-0.026293165098785643,-0.006888447069100636
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,relative_mpiw_change,2,0.005779798004821546,-0.08802546761290767,0.10367706395349648
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,relative_winkler_interval_score_change,2,-0.006943068556080273,-0.013867590640511566,-0.001305812716075137
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_picp,3,-0.0011273194171160517,-0.020972729545660828,0.01890034897573467
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_mpiw,3,-0.002087093927515854,-0.05508294818815166,0.04984883936651056
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_winkler_interval_score,3,-0.008161814258156245,-0.015100528320556555,-0.0011594194706594345
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_macro_user_abs_coverage_gap,3,-0.007279203884656191,-0.013190086528971523,-0.0011707219719140985
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_max_abs_cluster_coverage_gap,3,-0.025082585587685783,-0.037852449923243096,-0.011718190578149818
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,delta_joint_loss,3,-0.01618089473617099,-0.025536858194076292,-0.006515952837786217
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,relative_mpiw_change,3,0.005779798004821546,-0.09230886835163796,0.10970246341194646
paired_metric,aci_segment_vs_static_segment,Ausgrid|persistence,relative_winkler_interval_score_change,3,-0.006943068556080273,-0.013107912638846078,-0.0011389722895930544
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_picp,2,0.001471552081296043,-0.002605332270443272,0.005106065533788929
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_mpiw,2,0.00032564923623731363,-0.00045699755543013055,0.001028434145045237
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_winkler_interval_score,2,-3.874855193630228e-05,-5.668630349369379e-05,-2.2067673737692014e-05
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_macro_user_abs_coverage_gap,2,-0.0005467864480710895,-0.000752835233082381,-0.00036696150347673053
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_max_abs_cluster_coverage_gap,2,-0.008922277239566418,-0.011437811117637583,-0.00647297374517388
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_joint_loss,2,-0.004734531843818754,-0.006040306488597582,-0.003459648659247936
paired_metric,aci_segment_vs_static_segment,London|lgbm,relative_mpiw_change,2,0.0008932368790980605,-0.0020695746448743868,0.003463663794993467
paired_metric,aci_segment_vs_static_segment,London|lgbm,relative_winkler_interval_score_change,2,-8.008895795639553e-05,-0.00012925182886913393,-3.8894263708068786e-05
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_picp,3,0.001471552081296043,-0.002022491917174932,0.0048723254106221746
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_mpiw,3,0.00032564923623731363,-0.0003444292134245302,0.0010136851719837016
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_winkler_interval_score,3,-3.874855193630228e-05,-5.8260109809466446e-05,-2.18257919927901e-05
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_macro_user_abs_coverage_gap,3,-0.0005467864480710895,-0.0007676340061602081,-0.000357335671468725
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_max_abs_cluster_coverage_gap,3,-0.008922277239566418,-0.011479465177423374,-0.006551462038633256
paired_metric,aci_segment_vs_static_segment,London|lgbm,delta_joint_loss,3,-0.004734531843818754,-0.006101706901408995,-0.003477451979358304
paired_metric,aci_segment_vs_static_segment,London|lgbm,relative_mpiw_change,3,0.0008932368790980605,-0.0016521689508319619,0.0033517678922772086
paired_metric,aci_segment_vs_static_segment,London|lgbm,relative_winkler_interval_score_change,3,-8.008895795639553e-05,-0.0001322494582951816,-3.721935839979423e-05
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_picp,2,-0.0011809298569650517,-0.015416856433932565,0.013565109674553367
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_mpiw,2,-0.00335205878759168,-0.02877617273055905,0.021542079369266883
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_winkler_interval_score,2,-0.0032235306810747062,-0.00509110608504849,-0.001505575709319236
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_macro_user_abs_coverage_gap,2,-0.0042758850760263286,-0.008007618765440093,-0.0008687413030282183
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_max_abs_cluster_coverage_gap,2,-0.028000244939755912,-0.037911699701709156,-0.01784109597000501
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_joint_loss,2,-0.016138065007891122,-0.022375738241125036,-0.009898294991378535
paired_metric,aci_segment_vs_static_segment,London|persistence,relative_mpiw_change,2,-0.0038419123736076768,-0.07479181617577621,0.06839099014992761
paired_metric,aci_segment_vs_static_segment,London|persistence,relative_winkler_interval_score_change,2,-0.0038093517545562602,-0.005905032497095215,-0.0018719801009181238
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_picp,3,-0.0011809298569650517,-0.016898915013019954,0.015623417704475749
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_mpiw,3,-0.00335205878759168,-0.03147871694736281,0.02522678301725808
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_winkler_interval_score,3,-0.0032235306810747062,-0.004764923265318199,-0.001639402892892903
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_macro_user_abs_coverage_gap,3,-0.0042758850760263286,-0.008177560939374192,-0.0010050354719764302
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_max_abs_cluster_coverage_gap,3,-0.028000244939755912,-0.03683349949070407,-0.01838380992654717
paired_metric,aci_segment_vs_static_segment,London|persistence,delta_joint_loss,3,-0.016138065007891122,-0.021899249895467873,-0.010222407725697954
