forecaster,dataset,configuration,coverage,horizon_hours,window,window_order,strategy,selected_policy,loss
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Previous-window winner,rolling_user_norm,0.0190928802693381
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Follow-the-leader,rolling_user_norm,0.0190928802693381
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Global-CQR,rolling_global_norm,0.0278360053381737
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Segment-CQR,rolling_group_norm,0.0262205031440945
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,User-CQR,rolling_user_norm,0.0190928802693381
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Ex-post best fixed,rolling_user_norm,0.0190928802693381
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-01,6,Month-wise oracle,rolling_user_norm,0.0190928802693381
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,CSGR,rolling_user_norm,0.0172769627338241
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Mean-fold minimum,rolling_user_norm,0.0172769627338241
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Latest-fold minimum,rolling_user_norm,0.0172769627338241
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Previous-window winner,rolling_user_norm,0.0172769627338241
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Follow-the-leader,rolling_user_norm,0.0172769627338241
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Global-CQR,rolling_global_norm,0.028834121607559
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Segment-CQR,rolling_group_norm,0.0267031129069887
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,User-CQR,rolling_user_norm,0.0172769627338241
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Ex-post best fixed,rolling_user_norm,0.0172769627338241
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-02,7,Month-wise oracle,rolling_user_norm,0.0172769627338241
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,CSGR,rolling_user_norm,0.0166438798136937
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Mean-fold minimum,rolling_user_norm,0.0166438798136937
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Latest-fold minimum,rolling_user_norm,0.0166438798136937
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Previous-window winner,rolling_user_norm,0.0166438798136937
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Follow-the-leader,rolling_user_norm,0.0166438798136937
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Global-CQR,rolling_global_norm,0.0273206887490723
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Segment-CQR,rolling_group_norm,0.0249389013891406
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,User-CQR,rolling_user_norm,0.0166438798136937
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Ex-post best fixed,rolling_user_norm,0.0166438798136937
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,8,Month-wise oracle,rolling_user_norm,0.0166438798136937
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,CSGR,rolling_user_norm,0.0215304466806183
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Mean-fold minimum,rolling_user_norm,0.0215304466806183
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Latest-fold minimum,rolling_user_norm,0.0215304466806183
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Previous-window winner,rolling_user_norm,0.0215304466806183
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Follow-the-leader,rolling_user_norm,0.0215304466806183
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Global-CQR,rolling_global_norm,0.0259388120407857
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Segment-CQR,rolling_group_norm,0.0248197268184396
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,User-CQR,rolling_user_norm,0.0215304466806183
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Ex-post best fixed,rolling_user_norm,0.0215304466806183
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,9,Month-wise oracle,rolling_user_norm,0.0215304466806183
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,CSGR,rolling_user_norm,0.0239018589375795
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Mean-fold minimum,rolling_user_norm,0.0239018589375795
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2013-05,10,Latest-fold minimum,rolling_user_norm,0.0239018589375795
