source,variant,layout,threshold_se,fallback,efficiency_weight,windows,mean_router_loss,mean_best_fixed_loss,mean_global_loss,mean_oracle_loss,mean_delta_best_fixed,mean_delta_global,mean_router_user_gap,mean_router_segment_gap,mean_router_interval_score,strict_conflict_rate_vs_global,selected_global,selected_segment,selected_user,block_months,delta_best_ci_low,delta_best_ci_high
lgbm,expanding_k0_global_eta0.01,expanding,0.0,global,0.01,35,0.04073495695199446,0.04073495695199446,0.05018875364164224,0.040568062328991045,0.0,-0.00945379668964779,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,3,0.0,0.0
lgbm,expanding_k0_history_best_eta0,expanding,0.0,history_best,0.0,35,0.022027066258415544,0.021940736121974686,0.0313502140137973,0.021771445559085726,8.633013644085716e-05,-0.00932314775538175,0.030781518261180217,0.013272614255650865,180.9650550137458,0.3142857142857143,0,1,34,2,0.0,0.0002589904093225715
lgbm,expanding_k0_history_best_eta0,expanding,0.0,history_best,0.0,35,0.022027066258415544,0.021940736121974686,0.0313502140137973,0.021771445559085726,8.633013644085716e-05,-0.00932314775538175,0.030781518261180217,0.013272614255650865,180.9650550137458,0.3142857142857143,0,1,34,3,0.0,0.0002589904093225715
lgbm,expanding_k0_history_best_eta0.01,expanding,0.0,history_best,0.01,35,0.04073495695199446,0.04073495695199446,0.05018875364164224,0.040568062328991045,0.0,-0.00945379668964779,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,2,0.0,0.0
lgbm,expanding_k0_history_best_eta0.01,expanding,0.0,history_best,0.01,35,0.04073495695199446,0.04073495695199446,0.05018875364164224,0.040568062328991045,0.0,-0.00945379668964779,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,3,0.0,0.0
lgbm,expanding_k1_global_eta0,expanding,1.0,global,0.0,35,0.02189674172564147,0.021940736121974686,0.0313502140137973,0.021771445559085726,-4.3994396333217214e-05,-0.009453472288155825,0.0306824560601706,0.013111027391112343,180.60173797411704,0.2571428571428571,2,0,33,2,-0.00021419917431264858,8.221598531299694e-05
lgbm,expanding_k1_global_eta0,expanding,1.0,global,0.0,35,0.02189674172564147,0.021940736121974686,0.0313502140137973,0.021771445559085726,-4.3994396333217214e-05,-0.009453472288155825,0.0306824560601706,0.013111027391112343,180.60173797411704,0.2571428571428571,2,0,33,3,-0.00018679384587498294,5.481065687533129e-05
lgbm,expanding_k1_global_eta0.01,expanding,1.0,global,0.01,35,0.04069130384488247,0.04073495695199446,0.05018875364164224,0.040568062328991045,-4.36531071119856e-05,-0.009497449796759778,0.0306824560601706,0.013111027391112343,180.60173797411704,0.2571428571428571,2,0,33,2,-0.0002156369713504455,8.467765001448873e-05
lgbm,expanding_k1_global_eta0.01,expanding,1.0,global,0.01,35,0.04069130384488247,0.04073495695199446,0.05018875364164224,0.040568062328991045,-4.36531071119856e-05,-0.009497449796759778,0.0306824560601706,0.013111027391112343,180.60173797411704,0.2571428571428571,2,0,33,3,-0.00018741108801228261,5.645176667632582e-05
lgbm,expanding_k1_history_best_eta0,expanding,1.0,history_best,0.0,35,0.021940736121974686,0.021940736121974686,0.0313502140137973,0.021771445559085726,0.0,-0.009409477891822607,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,2,0.0,0.0
lgbm,expanding_k1_history_best_eta0,expanding,1.0,history_best,0.0,35,0.021940736121974686,0.021940736121974686,0.0313502140137973,0.021771445559085726,0.0,-0.009409477891822607,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,3,0.0,0.0
lgbm,expanding_k1_history_best_eta0.01,expanding,1.0,history_best,0.01,35,0.04073495695199446,0.04073495695199446,0.05018875364164224,0.040568062328991045,0.0,-0.00945379668964779,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,2,0.0,0.0
lgbm,expanding_k1_history_best_eta0.01,expanding,1.0,history_best,0.01,35,0.04073495695199446,0.04073495695199446,0.05018875364164224,0.040568062328991045,0.0,-0.00945379668964779,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,3,0.0,0.0
lgbm,expanding_k2_global_eta0,expanding,2.0,global,0.0,35,0.022001314702449315,0.021940736121974686,0.0313502140137973,0.021771445559085726,6.05785804746285e-05,-0.009348899311347978,0.031034404269545166,0.01296822513535347,180.60177016292604,0.22857142857142856,3,0,32,2,-0.00018679384587498294,0.00031371893042353715
lgbm,expanding_k2_global_eta0,expanding,2.0,global,0.0,35,0.022001314702449315,0.021940736121974686,0.0313502140137973,0.021771445559085726,6.05785804746285e-05,-0.009348899311347978,0.031034404269545166,0.01296822513535347,180.60177016292604,0.22857142857142856,3,0,32,3,-0.00018679384587498294,0.00031371893042353715
lgbm,expanding_k2_global_eta0.01,expanding,2.0,global,0.01,35,0.04079699275704056,0.04073495695199446,0.05018875364164224,0.040568062328991045,6.203580504610573e-05,-0.009391760884601686,0.031034404269545166,0.01296822513535347,180.60177016292604,0.22857142857142856,3,0,32,2,-0.00018741108801228261,0.000317066736474274
lgbm,expanding_k2_global_eta0.01,expanding,2.0,global,0.01,35,0.04079699275704056,0.04073495695199446,0.05018875364164224,0.040568062328991045,6.203580504610573e-05,-0.009391760884601686,0.031034404269545166,0.01296822513535347,180.60177016292604,0.22857142857142856,3,0,32,3,-0.00018741108801228261,0.000317066736474274
lgbm,expanding_k2_history_best_eta0,expanding,2.0,history_best,0.0,35,0.021940736121974686,0.021940736121974686,0.0313502140137973,0.021771445559085726,0.0,-0.009409477891822607,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,2,0.0,0.0
