dataset,forecaster,coverage,horizon_hours,method,mean_user_window_gap,pooled_user_gap,temporal_cancellation_absolute,temporal_cancellation_ratio,equal_window_mean_user_window_gap,equal_window_pooled_user_gap,equal_window_temporal_cancellation_absolute,equal_window_temporal_cancellation_ratio,legacy_hybrid_mean_user_window_gap,legacy_hybrid_temporal_cancellation_absolute,legacy_hybrid_temporal_cancellation_ratio,weighting
Ausgrid,lightgbm_quantile,0.8,1.0,raw,0.0454268795528474,0.036711221575724276,0.008715657977123127,0.191861251816422,0.0454317482115957,0.03670910389769964,0.008722644313896064,0.19199446768525966,0.0454317482115957,0.008720526635871424,0.19194785539081796,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.9,6.0,raw,0.054344848123883266,0.04540286495319254,0.008941983170690726,0.16454150631365805,0.05435434556774845,0.04539926452728873,0.008955081040459723,0.16475372754323594,0.05435434556774845,0.008951480614555911,0.16468748765264019,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.9,6.0,rolling_global_norm,0.041023693895939274,0.030326926894824448,0.010696767001114826,0.26074607099614805,0.04105462749615974,0.030362769081212274,0.010691858414947467,0.2604300432624212,0.04105462749615974,0.010727700601335294,0.26130307971589234,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.9,6.0,rolling_group_norm,0.04047593958552862,0.029641040912631138,0.010834898672897483,0.2676873911722926,0.040508067209723934,0.02967197035504363,0.010836096854680306,0.2675046626781321,0.04050806720972394,0.010867026297092804,0.26826820052486183,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.9,6.0,rolling_user_norm,0.028565041767841047,0.007872703532322362,0.020692338235518686,0.724393767868193,0.028601096913903713,0.007826606142480977,0.020774490771422738,0.7263529379295847,0.02860109691390371,0.020728393381581348,0.7247412028978776,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.8,1.0,raw,0.05617526458056534,0.026551786014263667,0.029623478566301674,0.5273402588752621,0.056152341129988396,0.02665734040646382,0.029495000723524577,0.5252675156543499,0.05615234112998839,0.029600555115724722,0.5271473017875015,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.8,1.0,rolling_global_norm,0.05396599777034559,0.025930231670255488,0.0280357661000901,0.5195079727682864,0.05396357317815943,0.025984475046536754,0.02797909813162268,0.5184811991461419,0.05396357317815943,0.028033341507903944,0.5194863841827624,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.8,1.0,rolling_group_norm,0.053503420839632866,0.02536976374826285,0.028133657091370015,0.5258291273691775,0.05350923284062309,0.025426834452299034,0.028082398388324055,0.5248140722175424,0.05350923284062309,0.028139469092360238,0.5258806302862437,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.8,1.0,rolling_user_norm,0.047924130663856694,0.008417327163604715,0.03950680350025198,0.8243614010936483,0.0479594957176479,0.008426167814316488,0.03953332790333141,0.8243065802041811,0.04795949571764789,0.039542168554043175,0.8244909159770971,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.8,6.0,raw,0.08671870466242114,0.038000526870389864,0.048718177792031275,0.5617954970808381,0.08667954436932347,0.03817816424978064,0.04850138011954283,0.5595481664380764,0.08667954436932347,0.04867901749893361,0.5615975239962322,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.8,6.0,rolling_global_norm,0.08720647974221528,0.038687367327927186,0.04851911241428809,0.5563704962946779,0.08720428609103224,0.03880563004861742,0.04839865604241482,0.5550031794525746,0.08720428609103223,0.048516918763105044,0.5563593366552926,within-user effective-sample weighting for both terms; users macro-averaged
