dataset,forecaster,scheme,window,global_macro_user_gap,global_max_audit_group_gap,global_weighted_mean_audit_group_gap,user_macro_user_gap,user_max_audit_group_gap,user_weighted_mean_audit_group_gap,delta_user_gap_user_minus_global,delta_group_gap_user_minus_global,delta_weighted_mean_group_gap_user_minus_global,personalization_conflict,weighted_mean_group_conflict
UCI Electricity,persistence_quantile_interval,KM3,2014-12,0.056757086999022474,0.0864147749900438,0.010938731750386255,0.0393805379497367,0.027309836718438785,0.008330180052344432,-0.017376549049285775,-0.05910493827160501,-0.002608551698041823,0,0
Ausgrid,lightgbm_quantile,KM4,2012-07,0.03921719351242493,0.016793168880455456,0.009652695364476606,0.026949149494731556,0.01498975934459812,0.008958175998849236,-0.012268044017693377,-0.0018034095358573365,-0.0006945193656273697,0,0
Ausgrid,lightgbm_quantile,KM4,2012-08,0.03799537886143775,0.02317268305171527,0.007128151184953355,0.02584780810587261,0.016916282642088998,0.008285683460998998,-0.012147570755565142,-0.006256400409626273,0.0011575322760456431,0,1
Ausgrid,lightgbm_quantile,KM4,2012-09,0.040674934968413214,0.038326719576719515,0.015210423634336664,0.035374860646599754,0.029927248677248608,0.014276755852842759,-0.00530007432181346,-0.008399470899470907,-0.0009336677814939052,0,0
Ausgrid,lightgbm_quantile,KM4,2012-10,0.03663466033732513,0.016820276497695796,0.007632970115438579,0.027394181321250047,0.007880270629455177,0.00485399359873419,-0.009240479016075085,-0.00894000586824062,-0.002778976516704389,0,0
Ausgrid,lightgbm_quantile,KM4,2012-11,0.03705174656261614,0.01117919389978217,0.008623652917131191,0.02535535117056858,0.010747354497354533,0.006774897807506538,-0.01169639539204756,-0.0004318394024276362,-0.0018487551096246528,0,0
Ausgrid,lightgbm_quantile,KM4,2012-12,0.03976786420685438,0.01786034306195594,0.005734167655626285,0.025716546193404542,0.007398582600195436,0.0042237566080483065,-0.014051318013449839,-0.010461760461760505,-0.0015104110475779786,0,0
Ausgrid,lightgbm_quantile,KM4,2013-01,0.0436306505556155,0.011957094665823398,0.008421890171539574,0.02799564857769627,0.022366231438812112,0.006081202574891267,-0.015635001977919227,0.010409136772988714,-0.0023406875966483064,1,0
Ausgrid,lightgbm_quantile,KM4,2013-02,0.04267399267399266,0.024776785714285654,0.006935817805382954,0.029577261506609318,0.00866992630385488,0.003646579869405917,-0.013096731167383344,-0.016106859410430774,-0.003289237935977037,0,0
Ausgrid,lightgbm_quantile,KM4,2013-03,0.040812565181429124,0.019140424987199145,0.006779767684395971,0.024473603768835183,0.00974386855140752,0.004979411658934772,-0.01633896141259394,-0.009396556435791625,-0.0018003560254611995,0,0
Ausgrid,lightgbm_quantile,KM4,2013-04,0.04022435897435898,0.011655773420479298,0.006301096246748433,0.02930602006688964,0.013677832244008759,0.008663136380527727,-0.010918338907469335,0.00202205882352946,0.002362040133779294,1,1
Ausgrid,lightgbm_quantile,KM4,2013-05,0.04190311791994822,0.01602888467214847,0.0130228000143849,0.03089419930233396,0.0189123474688897,0.016451792714064817,-0.011008918617614258,0.002883462796741232,0.003428992699679917,1,1
Ausgrid,lightgbm_quantile,KM4,2013-06,0.04273272017837236,0.01666666666666672,0.01191703827573397,0.030309364548495,0.02256944444444453,0.014581010776662982,-0.012423355629877359,0.005902777777777812,0.0026639725009290124,1,1
London,lightgbm_quantile,KM4,2013-03,0.03546942888085434,0.024895459976105094,0.007240404279435262,0.026555066486722154,0.01640023955406089,0.005647111972818601,-0.008914362394132184,-0.008495220422044203,-0.0015932923066166614,0,0
London,lightgbm_quantile,KM4,2013-04,0.03415706610426504,0.03132716049382711,0.005355244267350856,0.031951159574244145,0.01260636784522673,0.006000119524293358,-0.0022059065300208958,-0.01872079264860038,0.0006448752569425016,0,1
London,lightgbm_quantile,KM4,2013-05,0.039486520588395746,0.04124850657108714,0.009714450921462253,0.0393049938498812,0.01815262843488652,0.011704352152543894,-0.00018152673851454942,-0.02309587813620062,0.0019899012310816405,0,1
London,lightgbm_quantile,KM4,2013-06,0.0424144679113881,0.038486511556002134,0.006486285055598138,0.027999585417274618,0.009018264840182644,0.0036202391894090526,-0.014414882494113483,-0.02946824671581949,-0.002866045866189085,0,0
London,lightgbm_quantile,KM4,2013-07,0.048465310766988366,0.03814964157706091,0.01580171931485622,0.03814374382329026,0.0198849517085109,0.014777446634532596,-0.010321566943698103,-0.01826468986855001,-0.0010242726803236235,0,0
London,lightgbm_quantile,KM4,2013-08,0.04613305600649457,0.010535814587342651,0.003235017341972958,0.02957028335169795,0.018264635603345347,0.003472158739547764,-0.016562772654796616,0.007728821016002696,0.00023714139757480615,1,1
London,lightgbm_quantile,KM4,2013-09,0.04348927244099849,0.016990731916900592,0.01484028131943878,0.03530127088774783,0.019652600328857073,0.01893278155220407,-0.008188001553250661,0.0026618684119564806,0.00409250023276529,1,1
