dataset,forecaster_key,window,static_delta_user_gap,static_delta_max_group_gap,static_delta_weighted_group_gap,static_max_conflict,static_weighted_conflict,aci_delta_user_gap,aci_delta_max_group_gap,aci_delta_weighted_group_gap,aci_max_conflict,aci_weighted_conflict,pid_delta_user_gap,pid_delta_max_group_gap,pid_delta_weighted_group_gap,pid_max_conflict,pid_weighted_conflict,window_order
Ausgrid,persistence,2013-03,-0.016410885748192897,-0.004200268817204478,-0.004272755061675163,0,0,-0.04318516920199949,-0.011108870967742046,-0.008055525587082408,0,0,-0.0483066314237422,-0.01423387096774198,-0.0094351242492897,0,0,8
Ausgrid,persistence,2013-04,0.0006897993311036979,-0.004381944444444397,0.0036115756224452504,0,0,-0.0343715161649944,-0.018194444444444402,-0.009919639539204703,0,0,-0.0401918431809736,-0.016854166666666726,-0.010356280193236667,0,0,9
Ausgrid,persistence,2013-05,-0.004223756608048329,-0.015201612903225747,0.0010294170532599706,0,1,-0.03742987377279099,-0.01765456989247305,-0.006827867083827727,0,0,-0.04506329341532704,-0.014065860215053738,-0.007895493940374646,0,0,10
Ausgrid,persistence,2013-06,-0.007838628762541808,0.0019236111111110565,-0.00037393162393165036,1,0,-0.04368729096989963,-0.009756944444444415,-0.004970271274619067,0,0,-0.051760497956150085,-0.004374999999999907,-0.004501114827201745,0,0,11
London,lgbm,2013-03,-0.008914362394132184,-0.0033858736295732106,-0.0002648764425345366,0,0,-0.02941344943419523,-0.004638071848858227,-0.0023986780379782052,0,0,-0.03305642926532051,-0.00401336231560101,-0.0026702772328613135,0,0,0
London,lgbm,2013-04,-0.0022059065300208958,0.005907627115669056,0.002279300477124299,1,1,-0.028561954453310168,-0.003396702841025556,-0.0017964779248359338,0,0,-0.03260783712727333,-0.0033320079082344023,-0.002154494877828043,0,0,1
London,lgbm,2013-05,-0.00018152673851454942,0.008103659863984647,0.006813643423361654,1,1,-0.03428663674704238,-0.0032649658310379692,-0.0015706207851759232,0,0,-0.03783276012011218,-0.002540308782382872,-0.0016445798118750244,0,0,2
London,lgbm,2013-06,-0.014414882494113483,-0.000808788384825343,-0.0010984747886131074,0,0,-0.037502890331179956,-0.0032261340555919116,-0.0023209798951304194,0,0,-0.0411465729273018,-0.004655794193729523,-0.003107432224800726,0,0,3
London,lgbm,2013-07,-0.010321566943698103,-0.002009021651770748,-0.001527801687037339,0,0,-0.03942816899154135,0.0007339633799524625,0.001630013771733579,1,1,-0.04558211323146916,-0.0024358614473337648,-0.001600157083835389,0,0,4
London,lgbm,2013-08,-0.016562772654796616,-0.0021177604379674086,-0.001078159868792475,0,0,-0.04128513625027643,-0.0017897707716665323,-0.001169037184416447,0,0,-0.044868705828481875,-0.0025643005414585085,-0.0017269378646519752,0,0,5
London,lgbm,2013-09,-0.008188001553250661,0.005378889741388337,0.004123072390701116,1,1,-0.03669800599017898,-0.0028395981920453783,-0.0009280039577047451,0,0,-0.04124052689184904,-0.002596699309052486,-0.0015580683398900266,0,0,6
London,lgbm,2013-10,-0.012318187328109773,-0.0006529546196539782,0.0022963796035213565,0,1,-0.03493037767400181,-0.004544449764558811,-0.0021658882025011603,0,0,-0.03903998519967727,-0.004195838018887343,-0.0027677629738048115,0,0,7
London,lgbm,2013-11,-0.00849980150744753,0.0019437695075786854,0.004241247733365959,1,1,-0.03493639161408298,-0.0031555489713135376,-0.0024076381395246134,0,0,-0.03995253271094826,-0.0044990931931248035,-0.0029635892358522917,0,0,8
London,lgbm,2013-12,-0.013475863421134611,-0.001876769539949752,-0.003141714826892158,0,0,-0.038502026811457146,-0.00682566582038302,-0.0044546863397152085,0,0,-0.04289677035120383,-0.0075958315978694735,-0.004980413047923402,0,0,9
London,lgbm,2014-01,-0.01220172114995213,-0.007859945668578283,-0.004363641257174394,0,0,-0.03670375028965622,-0.005592826765093095,-0.003964499828420411,0,0,-0.040615642186351934,-0.007385048797665661,-0.004952260478135388,0,0,10
London,persistence,2013-03,-0.01290899296930369,-0.014158878880812686,-0.008405225138518943,0,0,-0.03412097707616109,-0.014992970125684013,-0.009999435439859603,0,0,-0.0392427797800697,-0.017497706855507666,-0.011663274825187918,0,0,0
London,persistence,2013-04,-0.0028796161221657166,-0.0012678053635375441,-0.003057636659410428,0,0,-0.026390672510514898,-0.0008092734277398428,-0.0002247731083565149,0,0,-0.033718531109382305,-0.006469189949277698,-0.004643273407729774,0,0,1
London,persistence,2013-05,-0.0016996586247843143,0.003341430839575832,-0.002493537637631854,1,0,-0.03001337529739706,0.0017085781148148405,0.0030231623434145965,1,1,-0.039788565601754526,-0.0034546533749797437,-0.0027691037916558665,0,0,2
London,persistence,2013-06,-0.008473519445146904,-0.00046863885518222403,-0.0008557956537806471,0,0,-0.038974427696920104,-0.009473199715469227,-0.004164501707423451,0,0,-0.04629572771363708,-0.013035091938038645,-0.008761902644908705,0,0,3
London,persistence,2013-07,-0.014183079502991594,-0.008856043733549313,-0.00260663475253102,0,0,-0.05150611441336518,-0.01683336707835592,-0.010088577186098147,0,0,-0.06015653449797744,-0.02440744500736214,-0.016275671453786972,0,0,4
London,persistence,2013-08,-0.02446255294443958,-0.02150977707195978,-0.012628197373549997,0,0,-0.0524385730820246,-0.02369315306959552,-0.015783700955683724,0,0,-0.05990732648420567,-0.02984353872899359,-0.01966557791308782,0,0,5
London,persistence,2013-09,-0.007177566902106511,-0.005239477314871843,0.006496789805165767,0,1,-0.04076807304665376,-0.015937556980528234,-0.007244399869980838,0,0,-0.0459345689188596,-0.014001527691031468,-0.00796228333615777,0,0,6
London,persistence,2013-10,-0.007560350807635313,0.0010808002850842824,0.005752975642285614,1,1,-0.03550315025538059,-0.0058059221138679895,-0.003158153723703869,0,0,-0.039495453253236834,-0.004467181155949351,-0.003384024232678863,0,0,7
London,persistence,2013-11,-0.0035014401948178925,0.01395052499502103,0.005780804561292353,1,1,-0.03578763023005869,-0.005987823503567191,-0.005239540091914923,0,0,-0.04066658000731934,-0.00800120736118759,-0.005930013503826082,0,0,8
London,persistence,2013-12,-0.01277544861402296,-0.0004009071029400513,-0.0011526796373374764,0,0,-0.03725459403948687,-0.008255315038277922,-0.00665956828961383,0,0,-0.045272212392367873,-0.011847242459125829,-0.008314243001107733,0,0,9
London,persistence,2014-01,-0.0200412513100928,-0.010506823559920941,-0.008824035581178974,0,0,-0.043023324677283176,-0.011097382809404643,-0.008051478694854898,0,0,-0.04720403001024631,-0.011585979315062889,-0.008032117714758973,0,0,10
UCI Electricity,lgbm,2014-01,-0.01440364220505757,-0.0038591570279812304,-0.0011968993104754869,0,0,-0.039238365507197184,-0.002787074643576082,-0.0017581493746127554,0,0,-0.04341221883226829,-0.00826131614365655,-0.00550218461259136,0,0,0
UCI Electricity,lgbm,2014-02,-0.01471498310832959,-0.0047742769344394365,-0.0008336574727613507,0,0,-0.03850994925943246,-0.0036730279730424753,-0.0003207887732670266,0,0,-0.04216667904952122,-0.006684519880210238,-0.00454392489871549,0,0,1
