dataset,configuration,coverage,horizon_hours,window,window_order,user_weight,efficiency_weight,selected_policy,router_loss,oracle_loss,oracle_policy,router_macro_user_abs_coverage_gap,router_max_abs_cluster_coverage_gap,router_normalized_interval_score,loss__rolling_global_norm,loss__rolling_group_norm,loss__rolling_user_norm,cv_mean_gain_over_global__rolling_global_norm,cv_mean_gain_over_global__rolling_group_norm,cv_mean_gain_over_global__rolling_user_norm,cv_lower_gain__rolling_global_norm,cv_lower_gain__rolling_group_norm,cv_lower_gain__rolling_user_norm,mean_fold_policy,latest_fold_policy,forecaster,previous_window_policy,follow_the_leader_policy,best_fixed_policy
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-05,10,0.5,0.0,rolling_user_norm,0.0387434313838684,0.0387434313838684,rolling_user_norm,0.049758603948646,0.0277282588190908,2.364153867597784,0.0485873315219757,0.0456715863858589,0.0387434313838684,0.0,0.0025307356185871,0.0109972862649522,0.0,0.001687077979142,0.007857209718755,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-06,11,0.5,0.0,rolling_user_norm,0.036036932960958,0.036036932960958,rolling_user_norm,0.0432436826458565,0.0288301832760595,3.042039131087703,0.0505032307985683,0.0470273913888044,0.036036932960958,0.0,0.0050204137866915,0.0154703319599246,0.0,0.0049446190965432,0.0122869269538923,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,2012-07,0,0.5,0.0,rolling_user_norm,0.0151547486816596,0.0151547486816596,rolling_user_norm,0.0189489157406408,0.0113605816226783,3.565418019302726,0.0215616874994874,0.020169570816047,0.0151547486816596,0.0,0.0018780436525716,0.0046043285547306,0.0,0.0007085988595582,0.0036302586443394,rolling_user_norm,rolling_user_norm,LightGBM,rolling_global_norm,rolling_global_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,2012-08,1,0.5,0.0,rolling_user_norm,0.0114868323296619,0.0114868323296619,rolling_user_norm,0.017258244326968,0.0057154203323558,3.2532495111098747,0.017622657871136,0.0156801400190157,0.0114868323296619,0.0,0.0023696974444994,0.0064200711581406,0.0,0.0017090947406577,0.0050222840217323,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,2012-09,2,0.5,0.0,rolling_user_norm,0.0216104660737812,0.0216104660737812,rolling_user_norm,0.0244867149758454,0.0187342171717171,2.452285282381658,0.0246949269028073,0.0231688356178844,0.0216104660737812,0.0,0.0023428610833362,0.0063061987815461,0.0,0.0021796949349383,0.0060310460431905,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,2012-10,3,0.5,0.0,rolling_user_norm,0.0120015439633793,0.0120015439633793,rolling_user_norm,0.0196632142985579,0.0043398736282008,2.3249881799629493,0.0181242385641883,0.0156447733994147,0.0120015439633793,0.0,0.0007332755147636,0.0044647267326278,0.0,0.0002845391421214,0.0035925436887934,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,2012-11,4,0.5,0.0,rolling_user_norm,0.013476067637073,0.013476067637073,rolling_user_norm,0.0183110367892976,0.0086410984848485,2.341257775878169,0.0186768903981432,0.017420420109797,0.013476067637073,0.0,0.0012875737390425,0.0052416017483237,0.0,0.0012414502287022,0.0037239108964185,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,2012-12,5,0.5,0.0,rolling_user_norm,0.0128527165710332,0.0128527165710332,rolling_user_norm,0.0210468587046427,0.0046585744374237,2.504720914255885,0.0191284481793335,0.0170485756938246,0.0128527165710332,0.0,0.0014709557050103,0.0057061729891613,0.0,-0.0001879731011812,0.003321099315618,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,2013-01,6,0.5,0.0,rolling_user_norm,0.0170725743109158,0.0170725743109158,rolling_user_norm,0.0225401877225159,0.0116049608993157,2.9583328363192494,0.0214070403198992,0.0206915770485737,0.0170725743109158,0.0,0.0014554508629475,0.0055699775042683,0.0,0.0004779349542488,0.0026860304471041,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,2013-02,7,0.5,0.0,rolling_user_norm,0.0118954571407226,0.0118954571407226,rolling_user_norm,0.0217520703933747,0.0020388438880706,2.4473703415087504,0.0194151721240715,0.0191882821602501,0.0118954571407226,0.0,0.0016884877475921,0.0063062914515753,0.0,0.0013480486870548,0.0060161541079204,rolling_user_norm,rolling_user_norm,LightGBM,rolling_user_norm,rolling_user_norm,rolling_user_norm
