dataset,configuration,coverage,horizon_hours,window,window_order,fold,fit_days,validation_start,validation_stop_exclusive,policy,n,picp,mpiw,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,normalized_interval_score
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-06,3,3,49,2013-05-25 00:00:00,2013-06-01 00:00:00,rolling_user_norm,167871,0.7951045743457774,0.2778507768418363,0.035529038213548,0.0080577197805495,2.1331091029954554
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,1,35,2013-06-10 00:00:00,2013-06-17 00:00:00,rolling_global_norm,167869,0.798384454544913,0.2627125692744766,0.0470110809352358,0.0082897793263646,2.086364759847483
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,1,35,2013-06-10 00:00:00,2013-06-17 00:00:00,rolling_group_norm,167869,0.798170001608397,0.2624666093083353,0.0473842147244715,0.0078252032520326,2.086305259996776
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,1,35,2013-06-10 00:00:00,2013-06-17 00:00:00,rolling_user_norm,167869,0.7975445138768921,0.2628959385643675,0.0325827178295758,0.0168626596980255,2.081198432412161
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,2,42,2013-06-17 00:00:00,2013-06-24 00:00:00,rolling_global_norm,167695,0.8039655326634664,0.2519186647687531,0.050042018907372,0.0200493612078977,1.98093720144796
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,2,42,2013-06-17 00:00:00,2013-06-24 00:00:00,rolling_group_norm,167695,0.8036971883478935,0.2516918904746905,0.0490421546093212,0.0054224738675957,1.980855803283387
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,2,42,2013-06-17 00:00:00,2013-06-24 00:00:00,rolling_user_norm,167695,0.8039059005933391,0.2521692214263581,0.034182686476554,0.0047229135855907,1.9757298728375263
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,3,49,2013-06-24 00:00:00,2013-07-01 00:00:00,rolling_global_norm,167901,0.8025979595118552,0.2517294374367715,0.0476841478696741,0.0212833914053426,1.9879510207536075
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,3,49,2013-06-24 00:00:00,2013-07-01 00:00:00,rolling_group_norm,167901,0.8024609740263607,0.251504578853978,0.0473692355889724,0.0047328687572589,1.9878778904809595
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-07,4,3,49,2013-06-24 00:00:00,2013-07-01 00:00:00,rolling_user_norm,167901,0.8025622241678132,0.2519906330068741,0.0314168024227234,0.0038594089604572,1.982020077179237
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,1,35,2013-07-11 00:00:00,2013-07-18 00:00:00,rolling_global_norm,167833,0.8132012178772947,0.2348097223094608,0.0540708934220415,0.0236788617886178,1.82990208412274
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,1,35,2013-07-11 00:00:00,2013-07-18 00:00:00,rolling_group_norm,167833,0.8133442171682566,0.2346486646604923,0.0537114923916597,0.01737482895337,1.8299184713186207
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,1,35,2013-07-11 00:00:00,2013-07-18 00:00:00,rolling_user_norm,167833,0.8121108482837106,0.2347720726437834,0.0402256423263646,0.0162520613311812,1.8231033089050448
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,2,42,2013-07-18 00:00:00,2013-07-25 00:00:00,rolling_global_norm,167845,0.8183860109029164,0.2315560816221924,0.0559245151429535,0.0294860627177699,1.813727183568588
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,2,42,2013-07-18 00:00:00,2013-07-25 00:00:00,rolling_group_norm,167845,0.8184515475587596,0.2314352734698973,0.0558579541543241,0.022284982546003,1.8137745783986357
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,2,42,2013-07-18 00:00:00,2013-07-25 00:00:00,rolling_user_norm,167845,0.8168429205516995,0.2312992417469555,0.0431872030470952,0.0210921465784903,1.8058163038586583
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,3,49,2013-07-25 00:00:00,2013-08-01 00:00:00,rolling_global_norm,167917,0.8085959134572438,0.2303901971216072,0.0527185090893382,0.0164137786032168,1.8621046319746557
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,3,49,2013-07-25 00:00:00,2013-08-01 00:00:00,rolling_group_norm,167917,0.8083815218232817,0.2302907211536827,0.0522278735522368,0.0156078074079265,1.862080193014369
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-08,5,3,49,2013-07-25 00:00:00,2013-08-01 00:00:00,rolling_user_norm,167917,0.8074465360862807,0.2299111520385831,0.0375403505516043,0.0161334407961593,1.854681449949198
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,1,35,2013-08-11 00:00:00,2013-08-18 00:00:00,rolling_global_norm,167974,0.7905271053853573,0.2303872569537396,0.0538587173579109,0.0124255952380952,1.837555432999952
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,1,35,2013-08-11 00:00:00,2013-08-18 00:00:00,rolling_group_norm,167974,0.7907592841749318,0.2304475507028407,0.053735599078341,0.0110029074859004,1.8375048222688937
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,1,35,2013-08-11 00:00:00,2013-08-18 00:00:00,rolling_user_norm,167974,0.7884434495814828,0.2287234496411374,0.0401623655913978,0.0120888359547413,1.831237174672567
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,2,42,2013-08-18 00:00:00,2013-08-25 00:00:00,rolling_global_norm,167955,0.7974159745169838,0.2327877553883231,0.0516314069480426,0.0040610599078341,1.8541533992297732
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,2,42,2013-08-18 00:00:00,2013-08-25 00:00:00,rolling_group_norm,167955,0.7975826858384686,0.2328384119643036,0.0515208708172687,0.0045223577235772,1.854141434730128
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,2,42,2013-08-18 00:00:00,2013-08-25 00:00:00,rolling_user_norm,167955,0.7954094846833973,0.23125874929478,0.0355620815568837,0.0090592334494773,1.8484039312822365
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,3,49,2013-08-25 00:00:00,2013-09-01 00:00:00,rolling_global_norm,167966,0.7884690949358799,0.2336030134933184,0.0543435719552013,0.0162298387096774,1.8883790454117757
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,3,49,2013-08-25 00:00:00,2013-09-01 00:00:00,rolling_group_norm,167966,0.789243061095698,0.2336430423409738,0.0534792862409156,0.0125759512511163,1.888287489915166
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-09,6,3,49,2013-08-25 00:00:00,2013-09-01 00:00:00,rolling_user_norm,167966,0.7887489134705833,0.2322208860995873,0.0366066671932965,0.0133616551459293,1.8822219752291096
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,1,35,2013-09-10 00:00:00,2013-09-17 00:00:00,rolling_global_norm,167976,0.7831773586702863,0.2653658161057065,0.0512465260571702,0.0215019686929799,2.159461542027368
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,1,35,2013-09-10 00:00:00,2013-09-17 00:00:00,rolling_group_norm,167976,0.7835285993237129,0.2653397119476723,0.0505569229493769,0.0231054006968641,2.159249415215305
