kind,comparison,metric,block_months,estimate,ci_low,ci_high
paired_metric,pid_user_vs_aci_user,delta_winkler_interval_score,2,-5.953864092360452,-7.28050516716343,-4.498850221189314
paired_metric,pid_user_vs_aci_user,delta_macro_user_abs_coverage_gap,2,-0.005842001156249946,-0.006331132507033015,-0.005422651953268019
paired_metric,pid_user_vs_aci_user,delta_max_abs_cluster_coverage_gap,2,-0.006862909721533443,-0.007842993602872994,-0.005984288910146677
paired_metric,pid_user_vs_aci_user,relative_mpiw_change,2,0.03407564333600593,0.029672950622507827,0.03820768935399726
paired_metric,pid_user_vs_aci_user,relative_winkler_interval_score_change,2,-0.011039151787013814,-0.013239847811951592,-0.00900453559785219
paired_metric,pid_user_vs_aci_user,delta_picp,3,-0.0020390883241715864,-0.0028917327820148562,-0.0011854816772012542
paired_metric,pid_user_vs_aci_user,delta_mpiw,3,-0.2747517811944401,-1.1149767311246546,0.47855193399356943
paired_metric,pid_user_vs_aci_user,delta_winkler_interval_score,3,-5.953864092360452,-7.312374642827037,-4.3705650982902835
paired_metric,pid_user_vs_aci_user,delta_macro_user_abs_coverage_gap,3,-0.005842001156249946,-0.006316113099886128,-0.005412759709363155
paired_metric,pid_user_vs_aci_user,delta_max_abs_cluster_coverage_gap,3,-0.006862909721533443,-0.00784959031976721,-0.005974341506225453
paired_metric,pid_user_vs_aci_user,relative_mpiw_change,3,0.03407564333600593,0.03011566842782429,0.038025515198704916
paired_metric,pid_user_vs_aci_user,relative_winkler_interval_score_change,3,-0.011039151787013814,-0.01308287657814228,-0.00898691367830508
paired_metric,pid_user_vs_static_user,delta_picp,2,0.0005634731367936733,-0.004862901266530136,0.0061218407458270094
paired_metric,pid_user_vs_static_user,delta_mpiw,2,0.14029344951527614,-2.522533737195958,3.048873921324621
paired_metric,pid_user_vs_static_user,delta_winkler_interval_score,2,-8.752980044588067,-10.786099265501893,-6.680424241204435
paired_metric,pid_user_vs_static_user,delta_macro_user_abs_coverage_gap,2,-0.03406497639077468,-0.03636977904457884,-0.031899478997698925
paired_metric,pid_user_vs_static_user,delta_max_abs_cluster_coverage_gap,2,-0.021338776230617366,-0.025403257147690567,-0.017272118692399616
paired_metric,pid_user_vs_static_user,relative_mpiw_change,2,0.043653182435094716,0.012688327020530233,0.07448396078588934
paired_metric,pid_user_vs_static_user,relative_winkler_interval_score_change,2,-0.025062134433392905,-0.029290454842954936,-0.02123112771493182
paired_metric,pid_user_vs_static_user,delta_picp,3,0.0005634731367936733,-0.005268295574748241,0.006607535099971285
paired_metric,pid_user_vs_static_user,delta_mpiw,3,0.14029344951527614,-2.398917579368052,2.4641013043887554
paired_metric,pid_user_vs_static_user,delta_winkler_interval_score,3,-8.752980044588067,-10.88072716289233,-6.483264199885302
paired_metric,pid_user_vs_static_user,delta_macro_user_abs_coverage_gap,3,-0.03406497639077468,-0.036206604161278466,-0.031895965825467706
paired_metric,pid_user_vs_static_user,delta_max_abs_cluster_coverage_gap,3,-0.021338776230617366,-0.02534796618290893,-0.01724888820819912
paired_metric,pid_user_vs_static_user,relative_mpiw_change,3,0.043653182435094716,0.010460192638962713,0.07741843482136884
paired_metric,pid_user_vs_static_user,relative_winkler_interval_score_change,3,-0.025062134433392905,-0.0291338052631377,-0.021372898853840635
gcr_risk_difference,aci_minus_static,delta_gcr,2,-0.22857142857142856,-0.34285714285714286,-0.11428571428571428
gcr_risk_difference,aci_minus_static,delta_gcr,3,-0.22857142857142856,-0.34285714285714286,-0.12857142857142856
gcr_risk_difference,pid_minus_static,delta_gcr,2,-0.2857142857142857,-0.4,-0.17142857142857143
gcr_risk_difference,pid_minus_static,delta_gcr,3,-0.2857142857142857,-0.4,-0.18571428571428572
gcr_risk_difference,pid_minus_aci,delta_gcr,2,-0.05714285714285714,-0.11428571428571428,-0.014285714285714285
gcr_risk_difference,pid_minus_aci,delta_gcr,3,-0.05714285714285714,-0.11428571428571428,-0.014285714285714285
